childid,id,age,memsex,relate,livhse,grade,still,chgrade,chstill,whynot,agegrade,agestsch,hhschtyp,perf,schoolen,disab,codsec1,act1,months1,diasmes1,seman1,days1,hours1,codsec2,act2,months2,diasmes2,seman2,days2,hours2,act3,codsec3,months3,diasmes3,seman3,days3,hours3,acting,sleep,chcare,hhchore,npaywork,paywork,school,study,play,occuppat,incamnt,inctime,bonus,bonamnt,bontime,remun,remamnt,remtime,occyrs,occmths
PE051089,6,12,male,Brother/sister,"Yes, still lives in household",,,5,No,Child does not want to go,12,6,N/A,N/A,N/A,No disability,11,Non-remunerated household members,3,4,2,2,8,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,9,1,0,8,0,0,0,3,,,,,,,,,,,
PE051089,7,10,female,Brother/sister,"Yes, still lives in household",,,3,"Yes, attending regularly",N/A,88,6,Public or the national government,Good,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,Household chores/Housewife,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,9,1,1,0,0,5,1,3,,,,,,,,,,,
PE051089,15,8,female,Brother/sister,"Yes, still lives in household",,,1,"Yes, attending regularly",N/A,88,6,Public or the national government,Good,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,Household chores/Housewife,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,9,1,1,0,0,5,1,3,,,,,,,,,,,
PE051089,16,6,male,Brother/sister,"Yes, still lives in household",,,None,"Yes, attending regularly",N/A,88,6,Public or the national government,Good,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,Household chores/Housewife,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,9,1,1,0,0,5,1,3,,,,,,,,,,,
PE051089,17,2,male,Brother/sister,"Yes, still lives in household",,,,,,,,,,,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,,,,,,,,,,,,,,,,,,,
PE051089,18,0,male,Brother/sister,"Yes, still lives in household",,,,,,,,,,,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,,,,,,,,,,,,,,,,,,,
PE051090,0,5,female,YL Child,"Yes, still lives in household",,,None,"Yes, attending regularly",N/A,88,5,Public or the national government,Good,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,9,0,0,0,0,4,1,3,,,,,,,,,,,
PE051090,1,36,male,Biological parent,"Yes, still lives in household",7,No,,,,,,,,,No disability,11,Self-employed farmer (own plot),5,24,4,6,8,11,"Waged worker (agriculture, cattle farmer, fishing)",6,8,2,4,8,Self-employed (services),20,1,12,4,3,8,First activity,,,,,,,,,Independent,1000,Year,N/A,-88,N/A,N/A,-88,N/A,12,0
PE051090,2,32,female,Biological parent,"Yes, still lives in household",1,No,,,,,,,,,No disability,-88,Household chores/Housewife,88,88,88,88,88,11,Non-remunerated household members,3,6,2,3,8,N/A,-88,88,88,88,88,88,None,,,,,,,,,,,,,,,,,,,
PE051090,3,15,female,Brother/sister,"Yes, still lives in household",,,1,"Yes, attending regularly",N/A,88,6,Public or the national government,Good,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,Non-remunerated household members,3,6,2,3,8,N/A,-88,88,88,88,88,88,None,9,1,1,0,0,5,1,3,,,,,,,,,,,
PE051090,4,13,male,Brother/sister,"Yes, still lives in household",,,5,"Yes, attending regularly",N/A,88,6,Public or the national government,Good,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,Non-remunerated household members,3,20,4,5,8,N/A,-88,88,88,88,88,88,None,9,1,0,3,0,5,1,3,,,,,,,,,,,
PE051090,5,12,male,Brother/sister,"Yes, still lives in household",,,4,"Yes, attending regularly",N/A,88,6,Public or the national government,Good,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,Non-remunerated household members,3,20,4,5,8,N/A,-88,88,88,88,88,88,None,9,1,0,3,0,5,1,3,,,,,,,,,,,
PE051090,6,0,female,Brother/sister,"Yes, still lives in household",,,,,,,,,,,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,,,,,,,,,,,,,,,,,,,
PE051091,0,5,male,YL Child,"Yes, still lives in household",,,None,"Yes, attending regularly",N/A,88,3,Public or the national government,Good,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,Household chores/Housewife,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,10,0,1,0,0,4,1,6,,,,,,,,,,,
PE051091,1,34,male,Biological parent,"Yes, still lives in household",11,No,,,,,,,,,No disability,11,Self-employed farmer (own plot),6,24,4,6,8,523,Independent merchant,6,28,4,7,14,N/A,-88,88,88,88,88,88,First activity,,,,,,,,,Independent,3000,Year,N/A,-88,N/A,N/A,-88,N/A,7,0
PE051091,2,36,female,Biological parent,"Yes, still lives in household",Complete Technical college,No,,,,,,,,,No disability,-88,Household chores/Housewife,88,88,88,88,88,523,Independent merchant,12,28,4,7,14,N/A,-88,88,88,88,88,88,Second activity,,,,,,,,,Independent,10,Day,N/A,-88,N/A,N/A,-88,N/A,7,0
PE051091,3,60,female,Paternal grandparent,"No, lives elsewhere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE051091,4,18,female,Cousin,"No, lives elsewhere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE051091,5,11,female,Cousin,"No, lives elsewhere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE051092,0,5,female,YL Child,"Yes, still lives in household",,,None,"Yes, attending regularly",N/A,88,4,Public or the national government,Good,Reasonably okay,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,11,2,3,0,0,4,1,1,,,,,,,,,,,
PE051092,1,29,male,Biological parent,"Yes, still lives in household",6,No,,,,,,,,,No disability,11,Self-employed farmer (own plot),12,12,4,3,8,521,Non-remunerated Household members,12,28,4,7,12,N/A,-88,88,88,88,88,88,First activity,,,,,,,,,Independent,300,Year,N/A,-88,N/A,N/A,-88,N/A,5,3
PE051092,2,23,female,Biological parent,"Yes, still lives in household",11,No,,,,,,,,,No disability,521,Independent merchant,12,28,4,7,12,-88,Household chores/Housewife,88,88,88,88,88,N/A,-88,88,88,88,88,88,First activity,,,,,,,,,Independent,200,Month,N/A,-88,N/A,N/A,-88,N/A,5,0
PE051092,3,0,male,Brother/sister,"Yes, still lives in household",,,,,,,,,,,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,,,,,,,,,,,,,,,,,,,
PE051093,0,5,female,YL Child,"Yes, still lives in household",,,None,No,29,88,88,N/A,N/A,N/A,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,11,0,1,0,0,0,0,10,,,,,,,,,,,
PE051093,1,33,male,Biological parent,"Yes, still lives in household",6,No,,,,,,,,,No disability,20,Forestry,12,24,4,6,9,12,Cattle farmer,12,12,4,3,6,N/A,-88,88,88,88,88,88,First activity,,,,,,,,,Independent,2000,Month,N/A,-88,N/A,N/A,-88,N/A,1,0
PE051093,2,29,female,Biological parent,"Yes, still lives in household",6,No,,,,,,,,,No disability,-88,Household chores/Housewife,88,88,88,88,88,521,Independent merchant,1,15,2,7,10,N/A,-88,88,88,88,88,88,Second activity,,,,,,,,,Independent,20,Day,N/A,-88,N/A,N/A,-88,N/A,0,1
PE051093,3,12,female,Brother/sister,"Yes, still lives in household",,,3,"Yes, attending regularly",N/A,88,4,Public or the national government,Good,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,10,2,1,0,0,4,0,4,,,,,,,,,,,
PE051093,4,29,male,Uncle/Aunt,"Yes, still lives in household",1,No,,,,,,,,,No disability,20,Forestry,12,24,4,6,9,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,First activity,,,,,,,,,Independent,500,Month,N/A,-88,N/A,N/A,-88,N/A,1,0
PE051093,15,7,female,Brother/sister,"Yes, still lives in household",,,1,"Yes, attending regularly",N/A,88,4,Public or the national government,Good,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,10,2,1,0,0,5,2,3,,,,,,,,,,,
PE051094,0,4,male,YL Child,"Yes, still lives in household",,,None,No,Child does not want to go,88,88,N/A,N/A,N/A,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,11,0,1,0,0,0,0,10,,,,,,,,,,,
PE051094,1,28,male,Biological parent,"Yes, still lives in household",11,No,,,,,,,,,No disability,11,Self-employed farmer (own plot),7,24,4,6,8,20,"Waged worker (agriculture, cattle farmer, fishing)",5,12,4,3,12,N/A,-88,88,88,88,88,88,First activity,,,,,,,,,Independent,3000,Year,N/A,-88,N/A,N/A,-88,N/A,8,0
PE051094,2,28,female,Biological parent,"Yes, still lives in household",10,No,,,,,,,,,No disability,-88,Household chores/Housewife,88,88,88,88,88,11,Non-remunerated household members,4,20,4,5,6,N/A,-88,88,88,88,88,88,None,,,,,,,,,,,,,,,,,,,
PE051094,3,54,male,Paternal grandparent,"No, lives elsewhere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE051094,4,53,female,Paternal grandparent,"No, lives elsewhere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE051094,5,18,female,Uncle/Aunt,"No, lives elsewhere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE051094,15,8,male,Brother/sister,"Yes, still lives in household",,,2,"Yes, attending regularly",N/A,88,6,Public or the national government,Reasonably well,Reasonably okay,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,10,1,1,0,0,6,1,4,,,,,,,,,,,
PE051095,0,5,female,YL Child,"Yes, still lives in household",,,None,"Yes, attending regularly",N/A,88,4,Public or the national government,Good,Reasonably okay,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,10,0,1,0,0,5,1,3,,,,,,,,,,,
PE051095,1,52,male,Biological parent,"Yes, still lives in household",6,No,,,,,,,,,No disability,919,Waged worker,12,28,4,7,10,202,Self-employed (small manufacturing business),4,16,4,4,1,N/A,-88,88,88,88,88,88,First activity,,,,,,,,,Dependent,800,Month,Yes,1600,Year,No,-88,N/A,3,0
PE051095,2,43,female,Biological parent,"Yes, still lives in household",6,No,,,,,,,,,No disability,-88,Household chores/Housewife,88,88,88,88,88,919,Non-remunerated Household members,12,28,4,7,3,N/A,-88,88,88,88,88,88,None,,,,,,,,,,,,,,,,,,,
PE051095,3,26,female,Brother/sister,"No, lives elsewhere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE051095,4,24,female,Brother/sister,"No, lives elsewhere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE051095,5,17,female,Brother/sister,"Yes, still lives in household",,,11,"Yes, attending regularly",N/A,88,4,Private,Good,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,6,0,2,2,0,7,4,1,,,,,,,,,,,
PE051099,0,4,female,YL Child,"Yes, still lives in household",,,None,"Yes, attending regularly",N/A,88,4,Public or the national government,Good,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,10,0,1,0,0,4,1,3,,,,,,,,,,,
PE051099,1,43,female,Biological parent,"Yes, still lives in household",6,No,,,,,,,,,No disability,11,"Waged worker (agriculture, cattle farmer, fishing)",8,12,4,3,8,11,Self-employed farmer (own plot),4,16,4,4,8,N/A,-88,88,88,88,88,88,First activity,,,,,,,,,Dependent,8,Day,No,-88,N/A,Yes,5,Day,14,0
PE051099,2,18,female,Half-sibling (same mother),"No, lives elsewhere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE051099,3,13,male,Half-sibling (same mother),"Yes, still lives in household",,,5,No,Books etc.too expensive,12,5,N/A,N/A,N/A,No disability,11,Non-remunerated household members,3,12,4,3,8,11,"Waged worker (agriculture, cattle farmer, fishing)",9,16,4,4,8,N/A,-88,88,88,88,88,88,Second activity,8,1,1,0,5,0,0,1,Dependent,8,Day,No,-88,N/A,Yes,5,Day,1,0
PE051099,4,12,male,Half-sibling (same mother),"Yes, still lives in household",,,5,"Yes, attending regularly",N/A,88,4,Public or the national government,Reasonably well,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,11,Non-remunerated household members,12,8,4,2,8,N/A,-88,88,88,88,88,88,None,10,1,1,3,0,5,1,3,,,,,,,,,,,
PE051099,15,8,male,Half-sibling (same mother),"Yes, still lives in household",,,2,"Yes, attending regularly",N/A,88,5,Public or the national government,Reasonably well,Reasonably okay,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,11,Non-remunerated household members,12,8,4,2,5,N/A,-88,88,88,88,88,88,None,10,1,1,3,0,5,1,3,,,,,,,,,,,
PE051100,0,5,male,YL Child,"Yes, still lives in household",,,None,"Yes, attending regularly",N/A,88,3,Public or the national government,Reasonably well,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,11,0,1,0,0,5,1,3,,,,,,,,,,,
PE051100,1,30,male,Biological parent,"Yes, still lives in household",11,No,,,,,,,,,No disability,11,Self-employed farmer (own plot),12,24,4,6,8,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,First activity,,,,,,,,,Independent,1300,Year,N/A,-88,N/A,N/A,-88,N/A,12,0
PE051100,2,21,female,Biological parent,"Yes, still lives in household",5,No,,,,,,,,,No disability,-88,Household chores/Housewife,88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,,,,,,,,,,,,,,,,,,,
PE051101,0,5,male,YL Child,"Yes, still lives in household",,,None,No,School too far from home,88,88,N/A,N/A,N/A,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,12,0,1,0,0,0,0,9,,,,,,,,,,,
PE051101,1,49,male,Biological parent,"Yes, still lives in household",2,No,,,,,,,,,No disability,11,Self-employed farmer (own plot),10,24,4,6,8,11,"Waged worker (agriculture, cattle farmer, fishing)",2,24,4,6,8,N/A,-88,88,88,88,88,88,First activity,,,,,,,,,Independent,2000,Year,N/A,-88,N/A,N/A,-88,N/A,2,0
PE051101,2,40,female,Biological parent,"No, lives elsewhere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE051101,3,23,male,Brother/sister,"Yes, still lives in household",6,No,,,,,,,,,No disability,11,Non-remunerated household members,8,24,4,6,10,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,,,,,,,,,,,,,,,,,,,
PE051101,4,20,male,Brother/sister,"Yes, still lives in household",6,No,,,,,,,,,No disability,11,Non-remunerated household members,4,20,4,5,10,11,"Waged worker (agriculture, cattle farmer, fishing)",6,20,4,5,8,N/A,-88,88,88,88,88,88,Second activity,,,,,,,,,Dependent,7,Day,No,-88,N/A,Yes,7,Day,6,0
PE051101,5,19,female,Brother/sister,"Yes, still lives in household",6,No,,,,,,,,,No disability,11,Non-remunerated household members,12,24,4,6,8,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,,,,,,,,,,,,,,,,,,,
PE051101,6,17,female,Brother/sister,"Yes, still lives in household",,,8,No,Books etc.too expensive,15,3,N/A,N/A,N/A,No disability,11,Non-remunerated household members,9,24,4,6,8,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,9,2,2,1,0,0,0,4,,,,,,,,,,,
PE051101,7,14,female,Brother/sister,"Yes, still lives in household",,,3,No,"Illness, injury",9,3,N/A,N/A,N/A,Some difficulty with physical work,-88,Household chores/Housewife,88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,9,1,2,0,0,0,0,3,,,,,,,,,,,
PE051101,15,7,female,Brother/sister,"Yes, still lives in household",,,Missing,Missing,Missing,99,99,Missing,Missing,Missing,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,99,99,99,99,99,99,99,99,,,,,,,,,,,
PE051101,16,27,female,Step-parent,"Yes, still lives in household",None,No,,,,,,,,,No disability,-88,Household chores/Housewife,88,88,88,88,88,11,Non-remunerated household members,6,12,4,3,9,N/A,-88,88,88,88,88,88,None,,,,,,,,,,,,,,,,,,,
PE051101,17,2,male,Half-sibling (same father),"Yes, still lives in household",,,,,,,,,,,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,,,,,,,,,,,,,,,,,,,
PE051102,0,4,male,YL Child,"Yes, still lives in household",,,None,No,29,88,88,N/A,N/A,N/A,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,11,0,0,0,0,0,0,10,,,,,,,,,,,
PE051102,1,40,male,Biological parent,"Yes, still lives in household",2,No,,,,,,,,,No disability,11,Self-employed farmer (own plot),12,20,4,5,8,11,"Waged worker (agriculture, cattle farmer, fishing)",12,7,1,7,8,N/A,-88,88,88,88,88,88,First activity,,,,,,,,,Independent,300,Year,N/A,-88,N/A,N/A,-88,N/A,8,0
PE051102,2,31,female,Biological parent,"Yes, still lives in household",2,No,,,,,,,,,No disability,-88,Household chores/Housewife,88,88,88,88,88,11,"Waged worker (agriculture, cattle farmer, fishing)",12,12,4,3,8,Self-employed farmer (own plot),11,12,18,3,6,8,Third activity,,,,,,,,,Independent,300,Year,N/A,-88,N/A,N/A,-88,N/A,8,0
PE051102,3,13,male,Brother/sister,"Yes, still lives in household",,,1,"Yes, attending regularly",N/A,88,6,Public or the national government,Reasonably well,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,10,2,1,0,0,5,1,2,,,,,,,,,,,
PE051102,4,10,female,Brother/sister,"Yes, still lives in household",,,1,"Yes, attending regularly",N/A,88,6,Public or the national government,Good,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,10,2,1,0,0,5,1,2,,,,,,,,,,,
PE051102,15,8,male,Brother/sister,"Yes, still lives in household",,,None,"Yes, attending regularly",N/A,88,6,Public or the national government,Very bad,Reasonably okay,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,10,1,1,0,1,5,1,2,,,,,,,,,,,
PE051102,16,2,male,Brother/sister,"Yes, still lives in household",,,,,,,,,,,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,,,,,,,,,,,,,,,,,,,
PE051103,0,5,male,YL Child,"Yes, still lives in household",,,None,No,Books etc.too expensive,88,88,N/A,N/A,N/A,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,11,0,0,0,0,0,0,10,,,,,,,,,,,
PE051103,1,29,male,Biological parent,"Yes, still lives in household",3,No,,,,,,,,,No disability,11,"Waged worker (agriculture, cattle farmer, fishing)",12,20,4,5,8,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,First activity,,,,,,,,,Dependent,8,Day,No,-88,N/A,Yes,10,Day,13,0
PE051103,2,34,female,Biological parent,"Yes, still lives in household",3,No,,,,,,,,,No disability,524,Independent merchant,7,18,4,3,5,525,Independent merchant,5,8,4,2,8,N/A,-88,88,88,88,88,88,First activity,,,,,,,,,Independent,16,Day,N/A,-88,N/A,N/A,-88,N/A,0,7
PE051103,3,10,female,Brother/sister,"Yes, still lives in household",,,2,"Yes, attending regularly",N/A,88,5,Public or the national government,Good,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,10,2,1,0,0,6,2,3,,,,,,,,,,,
PE051103,4,17,male,Half-sibling (same mother),"Yes, still lives in household",,,7,"Yes, attending regularly",N/A,88,5,Public or the national government,Excellent,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,10,1,1,0,0,6,3,3,,,,,,,,,,,
PE051103,5,72,male,Great-grandparent (Mother's side),"No, lives elsewhere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE051104,0,4,female,YL Child,"Yes, still lives in household",,,None,No,29,88,88,N/A,N/A,N/A,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,11,0,0,0,0,0,0,10,,,,,,,,,,,
PE051104,1,46,male,Biological parent,"Yes, still lives in household",3,No,,,,,,,,,No disability,11,Self-employed farmer (own plot),12,24,4,6,6,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,First activity,,,,,,,,,Independent,4000,Year,N/A,-88,N/A,N/A,-88,N/A,22,0
PE051104,2,43,female,Biological parent,"Yes, still lives in household",None,No,,,,,,,,,No disability,-88,Household chores/Housewife,88,88,88,88,88,11,Non-remunerated household members,12,18,4,3,6,Cattle farmer,12,7,30,4,7,1,Third activity,,,,,,,,,Independent,12,Day,N/A,-88,N/A,N/A,-88,N/A,0,7
PE051104,3,17,female,Brother/sister,"Yes, still lives in household",,,9,"Yes, attending regularly",N/A,88,6,Public or the national government,Good,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,11,Non-remunerated household members,8,4,2,2,4,N/A,-88,88,88,88,88,88,None,8,2,2,2,0,6,1,1,,,,,,,,,,,
PE051104,4,14,male,Brother/sister,"Yes, still lives in household",,,8,"Yes, attending regularly",N/A,88,6,Public or the national government,Good,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,11,Non-remunerated household members,6,15,4,3,2,N/A,-88,88,88,88,88,88,None,8,2,2,2,0,6,2,2,,,,,,,,,,,
PE051104,5,12,female,Brother/sister,"Yes, still lives in household",,,6,"Yes, attending regularly",N/A,88,6,Public or the national government,Good,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,8,1,1,0,0,6,3,4,,,,,,,,,,,
PE051104,6,10,male,Brother/sister,"Yes, still lives in household",,,4,"Yes, attending regularly",N/A,88,6,Public or the national government,Good,Good,No disability,-88,Household chores/Housewife,88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,8,1,1,0,0,6,2,3,,,,,,,,,,,
PE051104,15,7,female,Brother/sister,"Yes, still lives in household",,,1,"Yes, attending regularly",N/A,88,6,Public or the national government,Good,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,9,0,1,0,0,6,1,5,,,,,,,,,,,
PE051104,16,8,female,Nephew/Niece,"Yes, still lives in household",,,1,"Yes, attending regularly",N/A,88,6,Public or the national government,Good,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,9,0,1,0,0,6,2,4,,,,,,,,,,,
PE051105,0,5,female,YL Child,"Yes, still lives in household",,,None,No,School too far from home,88,88,N/A,N/A,N/A,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,9,0,0,0,0,0,0,15,,,,,,,,,,,
PE051105,1,29,male,Biological parent,"No, lives elsewhere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE051105,2,21,female,Biological parent,"No, lives elsewhere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE051105,3,57,female,Paternal grandparent,"Yes, still lives in household",2,No,,,,,,,,,Full-time but no physical work,521,Independent merchant,5,30,4,7,12,-88,Household chores/Housewife,88,88,88,88,88,N/A,-88,88,88,88,88,88,First activity,,,,,,,,,Independent,5,Day,N/A,-88,N/A,N/A,-88,N/A,2,0
PE051105,4,73,male,Paternal grandparent,"Yes, still lives in household",None,No,,,,,,,,,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,,,,,,,,,,,,,,,,,,,
PE061001,0,4,female,YL Child,"Yes, still lives in household",,,None,"Yes, attending regularly",N/A,88,3,Public or the national government,Good,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,10,0,0,0,0,5,2,4,,,,,,,,,,,
PE061001,1,40,male,Biological parent,"Yes, still lives in household",6,No,,,,,,,,,No disability,525,Independent merchant,8,16,4,4,10,751,Waged worker,4,24,4,6,8,N/A,-88,88,88,88,88,88,First activity,,,,,,,,,Independent,50,Day,N/A,-88,N/A,N/A,-88,N/A,5,0
PE061001,2,30,female,Biological parent,"Yes, still lives in household",9,No,,,,,,,,,No disability,521,Independent merchant,12,28,4,7,12,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,First activity,,,,,,,,,Independent,10,Day,N/A,-88,N/A,N/A,-88,N/A,1,0
PE061001,3,10,male,Brother/sister,"Yes, still lives in household",,,4,"Yes, attending regularly",N/A,88,2,Public or the national government,Good,Good,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,521,Non-remunerated Household members,12,28,4,7,1,N/A,-88,88,88,88,88,88,None,9,1,1,1,0,6,1,3,,,,,,,,,,,
PE061001,4,63,male,Paternal grandparent,"No, lives elsewhere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE061001,5,66,female,Paternal grandparent,"No, lives elsewhere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE061001,6,0,male,Brother/sister,"Yes, still lives in household",,,,,,,,,,,No disability,-88,Dependent living at home (child or retired elder),88,88,88,88,88,-88,N/A,88,88,88,88,88,N/A,-88,88,88,88,88,88,None,,,,,,,,,,,,,,,,,,,
