childid,id,age,memsex,relate,livhse,grade,still,chgrade,chstill,whynot,agegrade,agestsch,hhschtyp,perf,schoolen,disab,act1,months1,days1,hours1,act2,months2,days2,hours2,act3,months3,days3,hours3,sleep,chcare,hhchore,npaywork,paywork,school,study,play
VN030015,0,5,male,yl child,"yes, still lives in household",n/a,n/a,none,4,child still in pre-school,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,11,0,0,0,0,0,0,13
VN030015,15,6,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,none,"yes, attending regularly",n/a,88,6,government school,reasonably well,good,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,11,2,0,0,0,4,1,6
VN030015,2,26,female,biological parent,"yes, still lives in household",none,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (non-food agriculture),12,20,4,household chores,12,29,3,self-employed (livestock),12,15,1,88,88,88,88,88,88,88,88
VN030015,1,26,male,biological parent,"yes, still lives in household",5,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (non-food agriculture),12,20,6,self-employed (food crops),6,9,8,self-employed (livestock),12,25,1,88,88,88,88,88,88,88,88
VN030016,7,1,female,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,77,77,77,77,77,77,77,77
VN030016,0,5,female,yl child,"yes, still lives in household",n/a,n/a,none,4,child still in pre-school,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,0,0,0,0,3,1,10
VN030016,6,13,male,uncle/aunt,"no, lives elsewhere",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,nk,nk,77,77,77,nk,77,77,77,nk,77,77,77,77,77,77,77,77,77,77,77
VN030016,5,16,female,uncle/aunt,"no, lives elsewhere",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,nk,nk,77,77,77,nk,77,77,77,nk,77,77,77,77,77,77,77,77,77,77,77
VN030016,4,24,female,biological parent,"yes, still lives in household",5,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),12,15,5,household chores,12,30,5,n/a,88,88,88,88,88,88,88,88,88,88,88
VN030016,3,28,male,biological parent,"yes, still lives in household",4,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),12,15,10,self-employed (livestock),12,30,2,n/a,88,88,88,88,88,88,88,88,88,88,88
VN030016,2,53,female,paternal grandparent,"no, lives elsewhere",nk,nk,n/a,n/a,n/a,88,88,n/a,n/a,n/a,nk,nk,77,77,77,nk,77,77,77,nk,77,77,77,88,88,88,88,88,88,88,88
VN030016,1,82,female,missing,"no, lives elsewhere",nk,nk,n/a,n/a,n/a,88,88,n/a,n/a,n/a,nk,nk,77,77,77,nk,77,77,77,nk,77,77,77,88,88,88,88,88,88,88,88
VN030017,0,5,female,yl child,"yes, still lives in household",n/a,n/a,none,4,child still in pre-school,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,11,0,0,0,0,4,2,7
VN030017,15,7,female,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,1,"yes, attending regularly",n/a,88,6,government school,good,good,no disability,household chores,4,10,2,household dependent,88,88,88,n/a,88,88,88,10,0,2,0,0,4,3,5
VN030017,2,24,female,biological parent,"yes, still lives in household",3,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),12,25,7,self-employed (livestock),12,30,2,household chores,12,30,2,88,88,88,88,88,88,88,88
VN030017,1,31,male,biological parent,"yes, still lives in household",5,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,capable of most types of full-time work but some difficulty with physical work,self-employed (non-food agriculture),12,25,6,self-employed (livestock),12,30,2,household chores,12,30,2,88,88,88,88,88,88,88,88
VN030018,0,5,female,yl child,"yes, still lives in household",n/a,n/a,none,4,child still in pre-school,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,0,0,0,0,4,3,7
VN030018,2,26,male,biological parent,"yes, still lives in household",5,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,wage employment (non-agriculture),8,20,8,self-employed (non-food agriculture),6,15,6,self-employed (food crops),5,14,2,88,88,88,88,88,88,88,88
VN030018,1,28,female,biological parent,"yes, still lives in household",3,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),7,18,5,household chores,12,25,2,self-employed (livestock),9,17,3,88,88,88,88,88,88,88,88
VN030019,0,4,female,yl child,"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,11,0,0,0,0,5,1,7
VN030019,15,8,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,2,"yes, attending regularly",n/a,88,6,government school,reasonably well,good,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,0,0,0,0,4,2,8
VN030019,4,12,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,6,"yes, attending regularly",n/a,88,6,government school,good,good,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,9,0,0,0,0,4,2,9
VN030019,3,13,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,6,"yes, attending regularly",n/a,88,6,government school,reasonably well,good,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,0,0,0,0,4,2,8
VN030019,2,34,female,biological parent,"yes, still lives in household",5,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (non-food agriculture),12,15,8,household chores,12,30,5,n/a,88,88,88,88,88,88,88,88,88,88,88
VN030019,1,40,male,biological parent,"yes, still lives in household",9,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,wage employment (non-agriculture),6,20,8,self-employed (non-food agriculture),6,20,7,n/a,88,88,88,88,88,88,88,88,88,88,88
VN030020,3,1,female,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,77,77,77,77,77,77,77,77
VN030020,0,5,female,yl child,"yes, still lives in household",n/a,n/a,none,4,child still in pre-school,88,88,n/a,n/a,n/a,no disability,other unpaid activity,3,15,2,household dependent,88,88,88,n/a,88,88,88,10,2,0,0,0,4,1,7
VN030020,1,26,male,biological parent,"yes, still lives in household",3,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (non-food agriculture),12,20,3,self-employed (livestock),12,28,3,n/a,88,88,88,88,88,88,88,88,88,88,88
VN030020,2,26,female,biological parent,"yes, still lives in household",3,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household chores,12,30,3,self-employed (non-food agriculture),4,5,6,n/a,88,88,88,88,88,88,88,88,88,88,88
VN030020,4,85,female,maternal grandparent,"yes, still lives in household",none,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88
VN030021,0,4,male,yl child,"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,12,0,0,0,0,4,2,6
VN030021,3,9,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,3,"yes, attending regularly",n/a,88,6,government school,good,good,no disability,household chores,5,10,2,household dependent,88,88,88,n/a,88,88,88,10,1,1,0,0,4,4,4
VN030021,2,28,female,biological parent,"yes, still lives in household",9,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (non-food agriculture),10,14,4,self-employed (livestock),8,15,4,household chores,12,30,2,88,88,88,88,88,88,88,88
VN030021,1,30,male,biological parent,"yes, still lives in household",9,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (non-food agriculture),10,15,5,self-employed (livestock),10,20,3,self-employed (food crops),4,8,5,88,88,88,88,88,88,88,88
VN030022,5,3,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,77,77,77,77,77,77,77,77
VN030022,0,5,female,yl child,"yes, still lives in household",n/a,n/a,none,"yes, attending regularly",n/a,88,5,government school,good,good,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,1,0,0,0,4,2,7
VN030022,4,24,female,biological parent,"yes, still lives in household",5,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (non-food agriculture),12,2,3,self-employed (livestock),8,29,1,household chores,12,28,3,88,88,88,88,88,88,88,88
VN030022,3,26,male,biological parent,"yes, still lives in household",5,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (non-food agriculture),12,4,3,household chores,12,5,2,n/a,88,88,88,88,88,88,88,88,88,88,88
VN030022,2,72,female,paternal grandparent,"yes, still lives in household",3,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88
VN030022,1,74,male,paternal grandparent,"yes, still lives in household",5,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88
VN030023,4,4,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,77,77,77,77,77,77,77,77
VN030023,0,5,female,yl child,"yes, still lives in household",n/a,n/a,none,4,child still in pre-school,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,11,0,0,0,0,4,1,8
VN030023,3,26,female,biological parent,"yes, still lives in household",4,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),10,15,6,wage employment (non-agriculture),3,3,8,household chores,12,28,3,88,88,88,88,88,88,88,88
VN030023,2,29,male,biological parent,"yes, still lives in household",2,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),3,15,8,wage employment (non-agriculture),4,15,8,household chores,8,17,2,88,88,88,88,88,88,88,88
VN030023,1,54,female,great-grandparent (mother's side),"yes, still lives in household",none,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),6,10,4,household chores,12,8,1,n/a,88,88,88,88,88,88,88,88,88,88,88
VN030024,10,-88,female,brother/sister (both parents the same),"yes, still lives in household",nk,nk,nk,nk,nk,77,77,nk,nk,nk,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,77,77,77,77,77,77,77,77
VN030024,0,5,male,yl child,"yes, still lives in household",n/a,n/a,none,4,child still in pre-school,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,0,0,0,0,4,2,8
VN030024,9,12,female,uncle/aunt,"no, lives elsewhere",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,nk,nk,77,77,77,nk,77,77,77,nk,77,77,77,77,77,77,77,77,77,77,77
VN030024,8,16,female,uncle/aunt,"no, lives elsewhere",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,nk,nk,77,77,77,nk,77,77,77,nk,77,77,77,77,77,77,77,77,77,77,77
VN030024,7,18,female,uncle/aunt,"no, lives elsewhere",nk,nk,n/a,n/a,n/a,88,88,n/a,n/a,n/a,nk,nk,77,77,77,nk,77,77,77,nk,77,77,77,88,88,88,88,88,88,88,88
VN030024,6,21,female,uncle/aunt,"no, lives elsewhere",nk,nk,n/a,n/a,n/a,88,88,n/a,n/a,n/a,nk,nk,77,77,77,nk,77,77,77,nk,77,77,77,88,88,88,88,88,88,88,88
VN030024,5,23,female,biological parent,"yes, still lives in household",3,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),12,20,5,household chores,12,30,4,n/a,88,88,88,88,88,88,88,88,88,88,88
VN030024,3,24,male,uncle/aunt,"no, lives elsewhere",nk,nk,n/a,n/a,n/a,88,88,n/a,n/a,n/a,nk,nk,77,77,77,nk,77,77,77,nk,77,77,77,88,88,88,88,88,88,88,88
VN030024,4,24,male,biological parent,"yes, still lives in household",2,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (non-food agriculture),12,20,5,self-employed (livestock),12,28,2,n/a,88,88,88,88,88,88,88,88,88,88,88
VN030024,2,25,female,uncle/aunt,"no, lives elsewhere",nk,nk,n/a,n/a,n/a,88,88,n/a,n/a,n/a,nk,nk,77,77,77,nk,77,77,77,nk,77,77,77,88,88,88,88,88,88,88,88
VN030024,1,64,male,maternal grandparent,"no, lives elsewhere",nk,nk,n/a,n/a,n/a,88,88,n/a,n/a,n/a,nk,nk,77,77,77,nk,77,77,77,nk,77,77,77,88,88,88,88,88,88,88,88
VN030025,0,5,male,yl child,"yes, still lives in household",n/a,n/a,none,4,child still in pre-school,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,0,0,0,0,4,3,7
VN030025,15,8,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,1,"yes, attending regularly",n/a,88,6,government school,good,good,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,9,1,2,0,0,4,4,4
VN030025,4,16,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,8,no,"truancy, child does not want to go",14,6,nk,nk,nk,no disability,household dependent,88,88,88,household chores,4,8,4,n/a,88,88,88,8,1,4,7,0,0,0,4
VN030025,16,18,female,brother/sister-in-law (spouse of sibling),"yes, still lives in household",9,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),4,12,4,self-employed (livestock),5,10,5,household chores,6,15,1,88,88,88,88,88,88,88,88
VN030025,3,19,male,brother/sister (both parents the same),"yes, still lives in household",7,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (non-food agriculture),5,17,5,self-employed (business),10,20,7,n/a,88,88,88,88,88,88,88,88,88,88,88
VN030025,2,38,female,biological parent,"yes, still lives in household",5,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (business),10,20,4,self-employed (livestock),3,15,3,household chores,12,30,1,88,88,88,88,88,88,88,88
VN030025,1,40,male,biological parent,"yes, still lives in household",7,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (non-food agriculture),6,15,5,self-employed (livestock),8,12,2,self-employed (food crops),3,12,5,88,88,88,88,88,88,88,88
VN030026,6,3,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,77,77,77,77,77,77,77,77
VN030026,0,5,male,yl child,"yes, still lives in household",n/a,n/a,none,4,child still in pre-school,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,1,0,0,0,4,1,8
VN030026,5,16,male,uncle/aunt,"no, lives elsewhere",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,nk,nk,77,77,77,nk,77,77,77,nk,77,77,77,77,77,77,77,77,77,77,77
VN030026,4,26,male,uncle/aunt,"no, lives elsewhere",nk,nk,n/a,n/a,n/a,88,88,n/a,n/a,n/a,nk,nk,77,77,77,nk,77,77,77,nk,77,77,77,88,88,88,88,88,88,88,88
VN030026,3,28,female,biological parent,"yes, still lives in household",5,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (livestock),12,26,3,household chores,12,28,3,n/a,88,88,88,88,88,88,88,88,88,88,88
VN030026,2,29,male,biological parent,"yes, still lives in household",9,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (non-food agriculture),6,10,5,self-employed (manufacturing),12,20,6,n/a,88,88,88,88,88,88,88,88,88,88,88
VN030026,1,57,female,maternal grandparent,"no, lives elsewhere",nk,nk,n/a,n/a,n/a,88,88,n/a,n/a,n/a,nk,nk,77,77,77,nk,77,77,77,nk,77,77,77,88,88,88,88,88,88,88,88
VN030027,0,5,male,yl child,"yes, still lives in household",n/a,n/a,none,4,child still in pre-school,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,12,0,0,0,0,4,3,5
VN030027,15,8,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,1,"yes, attending regularly",n/a,88,6,government school,reasonably well,good,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,1,1,0,0,4,3,5
VN030027,4,10,female,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,4,"yes, attending regularly",n/a,88,6,government school,good,good,no disability,household chores,5,10,1,household dependent,88,88,88,n/a,88,88,88,9,1,2,0,0,4,4,4
VN030027,3,13,female,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,6,"yes, attending regularly",n/a,88,6,government school,reasonably well,good,no disability,household chores,5,10,2,other unpaid activity,5,6,1,n/a,88,88,88,9,1,2,0,0,4,4,4
VN030027,2,31,female,biological parent,"yes, still lives in household",2,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (non-food agriculture),6,15,4,self-employed (livestock),10,12,2,household chores,12,25,1,88,88,88,88,88,88,88,88
VN030027,1,35,male,biological parent,"yes, still lives in household",3,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (non-food agriculture),6,18,5,self-employed (livestock),10,15,2,self-employed (food crops),3,12,4,88,88,88,88,88,88,88,88
VN030028,3,2,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,77,77,77,77,77,77,77,77
VN030028,0,4,male,yl child,"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,13,0,0,0,0,0,0,11
VN030028,2,24,male,biological parent,"yes, still lives in household",4,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),99,99,0,wage employment (non-agriculture),99,99,0,n/a,88,88,88,88,88,88,88,88,88,88,88
VN030028,1,32,female,biological parent,"yes, still lives in household",none,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),6,15,5,wage employment (non-agriculture),8,16,8,household chores,12,30,2,88,88,88,88,88,88,88,88
VN030029,0,4,male,yl child,"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,12,0,0,0,0,4,3,5
VN030029,18,6,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,none,4,other,99,6,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,12,0,0,0,0,4,3,5
VN030029,17,7,female,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,1,"yes, attending regularly",n/a,88,6,government school,good,good,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,1,2,1,0,4,3,3
VN030029,16,8,female,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,3,"yes, attending regularly",n/a,88,6,government school,good,good,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,1,2,1,0,4,3,3
VN030029,9,9,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,4,"yes, attending regularly",n/a,88,6,government school,good,good,no disability,household chores,5,10,1,household dependent,88,88,88,n/a,88,88,88,10,1,2,1,0,4,3,3
VN030029,7,11,female,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,6,"yes, attending regularly",n/a,88,6,government school,good,good,no disability,household chores,5,10,1,household dependent,88,88,88,n/a,88,88,88,9,0,0,0,0,7,5,3
VN030029,6,14,female,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,8,"yes, attending regularly",n/a,88,6,government school,good,good,no disability,household chores,5,12,2,household dependent,88,88,88,n/a,88,88,88,9,0,0,0,0,7,5,3
VN030029,5,16,female,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,9,no,banned because failed to achieve necessary grade,14,6,nk,nk,nk,no disability,self-employed (food crops),7,20,7,self-employed (livestock),6,10,2,household chores,10,15,1,8,2,3,7,0,0,0,4
VN030029,4,17,male,brother/sister (both parents the same),"no, lives elsewhere",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,nk,nk,77,77,77,nk,77,77,77,nk,77,77,77,77,77,77,77,77,77,77,77
VN030029,3,19,female,brother/sister (both parents the same),"no, lives elsewhere",nk,nk,n/a,n/a,n/a,88,88,n/a,n/a,n/a,nk,nk,77,77,77,nk,77,77,77,nk,77,77,77,88,88,88,88,88,88,88,88
VN030029,8,28,male,brother/sister (both parents the same),"no, lives elsewhere",nk,nk,n/a,n/a,n/a,88,88,n/a,n/a,n/a,nk,nk,77,77,77,nk,77,77,77,nk,77,77,77,88,88,88,88,88,88,88,88
VN030029,2,48,female,biological parent,"yes, still lives in household",none,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (non-food agriculture),5,16,4,self-employed (livestock),8,7,2,household chores,12,30,1,88,88,88,88,88,88,88,88
VN030029,1,49,male,biological parent,"yes, still lives in household",5,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (non-food agriculture),6,15,5,self-employed (livestock),10,8,3,self-employed (food crops),3,8,5,88,88,88,88,88,88,88,88
VN030030,4,2,female,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,77,77,77,77,77,77,77,77
VN030030,0,5,female,yl child,"yes, still lives in household",n/a,n/a,none,4,child still in pre-school,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,12,0,0,0,0,3,2,7
VN030030,3,10,female,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,4,"yes, attending regularly",n/a,88,6,government school,good,good,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,3,0,0,0,4,3,4
VN030030,2,29,female,biological parent,"yes, still lives in household",5,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (non-food agriculture),12,20,5,household chores,12,30,3,self-employed (livestock),12,30,3,88,88,88,88,88,88,88,88
VN030030,1,32,male,biological parent,"yes, still lives in household","post-secondary, vocational",no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,regular salaried employment,12,26,8,n/a,88,88,88,n/a,88,88,88,88,88,88,88,88,88,88,88
VN030031,17,0,female,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,77,77,77,77,77,77,77,77
VN030031,16,3,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,77,77,77,77,77,77,77,77
VN030031,0,5,male,yl child,"yes, still lives in household",n/a,n/a,none,4,child still in pre-school,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,12,1,0,0,0,0,0,11
VN030031,15,6,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,none,"yes, attending regularly",n/a,88,6,government school,reasonably well,good,no disability,household chores,10,15,2,household dependent,88,88,88,n/a,88,88,88,11,2,0,0,0,3,1,7
VN030031,2,25,female,biological parent,"yes, still lives in household",none,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (non-food agriculture),12,10,4,self-employed (livestock),12,15,1,household chores,12,28,3,88,88,88,88,88,88,88,88
VN030031,1,28,male,biological parent,"yes, still lives in household",2,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (non-food agriculture),12,15,6,self-employed (livestock),12,28,2,self-employed (food crops),6,10,6,88,88,88,88,88,88,88,88
VN030032,0,5,male,yl child,"yes, still lives in household",n/a,n/a,none,4,child still in pre-school,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,12,0,0,0,0,4,3,5
VN030032,15,7,male,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,1,"yes, attending regularly",n/a,88,6,government school,good,good,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,10,1,1,0,0,4,4,4
VN030032,2,28,female,biological parent,"yes, still lives in household",5,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),8,15,4,self-employed (livestock),8,15,2,household chores,12,25,2,88,88,88,88,88,88,88,88
VN030032,1,34,male,biological parent,"yes, still lives in household",9,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (non-food agriculture),10,18,5,self-employed (livestock),12,20,3,self-employed (food crops),3,5,4,88,88,88,88,88,88,88,88
VN030033,0,5,male,yl child,"yes, still lives in household",n/a,n/a,none,4,child still in pre-school,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,12,0,0,0,0,0,0,12
VN030033,15,6,female,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,none,"yes, attending regularly",n/a,88,6,government school,reasonably well,good,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,11,0,0,0,0,5,2,6
VN030033,2,28,female,biological parent,"yes, still lives in household",none,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),12,20,5,household chores,12,30,4,n/a,88,88,88,88,88,88,88,88,88,88,88
VN030033,1,35,male,biological parent,"yes, still lives in household",none,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (food crops),12,25,5,household chores,10,15,2,n/a,88,88,88,88,88,88,88,88,88,88,88
VN030034,16,1,female,brother/sister (both parents the same),"yes, still lives in household",n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,77,77,77,77,77,77,77,77
VN030034,0,5,female,yl child,"yes, still lives in household",n/a,n/a,none,4,child still in pre-school,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,12,0,0,0,0,3,2,7
VN030034,15,7,male,brother/sister (both parents the same),person has died,n/a,n/a,nk,nk,nk,77,77,nk,nk,nk,nk,nk,77,77,77,nk,77,77,77,nk,77,77,77,77,77,77,77,77,77,77,77
VN030034,2,29,female,biological parent,"yes, still lives in household",3,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (non-food agriculture),8,20,7,household chores,12,30,5,n/a,88,88,88,88,88,88,88,88,88,88,88
VN030034,1,33,male,biological parent,"yes, still lives in household",7,no,n/a,n/a,n/a,88,88,n/a,n/a,n/a,no disability,self-employed (non-food agriculture),8,20,7,self-employed (business),4,20,8,self-employed (livestock),12,30,4,88,88,88,88,88,88,88,88
VN030035,0,5,female,yl child,"yes, still lives in household",n/a,n/a,none,4,child still in pre-school,88,88,n/a,n/a,n/a,no disability,household dependent,88,88,88,n/a,88,88,88,n/a,88,88,88,8,0,0,0,0,3,1,12
