hh_id,indiv_id,age_5y,sex_5y,relate_5y,age_8y,sex_8y,relate_8y,age_12y,sex_12y,relate_12y
PE071031,6,,,,,,,60,Female,Maternal grandparent
PE071031,7,,,,,,,33,Male,Uncle/Aunt
PE071031,8,,,,,,,31,Male,Uncle/Aunt
PE071031,9,,,,,,,19,Female,Uncle/Aunt
PE071032,0,5,Female,YL Child,7,Female,YL Child,11,Female,YL Child
PE071032,1,70,Male,Biological parent,64,Male,Biological parent,73,Male,Biological parent
PE071032,2,46,Female,Biological parent,48,Female,Biological parent,53,Female,Biological parent
PE071032,3,15,Female,Cousin,,,,,Female,
PE071033,0,5,Male,YL Child,7,Male,YL Child,11,Male,YL Child
PE071033,1,44,Male,Biological parent,46,Male,Biological parent,50,Male,Biological parent
PE071033,2,42,Female,Biological parent,44,Female,Biological parent,48,Female,Biological parent
PE071033,3,21,Female,Brother/sister,24,Female,Brother/sister,28,Female,Brother/sister
PE071033,4,15,Female,Brother/sister,17,Female,Brother/sister,21,Female,Brother/sister
PE071033,5,11,Male,Brother/sister,11,Male,Brother/sister,18,Male,Brother/sister
PE071033,15,8,Male,Brother/sister,10,Male,Brother/sister,14,Male,Brother/sister
PE071034,0,5,Female,YL Child,8,Female,YL Child,12,Female,YL Child
PE071034,1,25,Male,Biological parent,,,,,Male,Biological parent
PE071034,2,30,Female,Biological parent,33,Female,Biological parent,37,Female,Biological parent
PE071034,3,56,Female,Maternal grandparent,58,Female,Maternal grandparent,64,Female,Maternal grandparent
PE071034,4,80,Male,Great-grandparent (Mother's side),,,,,Male,Great-grandparent (Mother's side)
PE071034,5,80,Female,Great-grandparent (Mother's side),,,,,Female,Great-grandparent (Mother's side)
PE071034,6,48,Female,Other relative,,,,,Female,Other relative
PE071034,7,38,Female,Other relative,,,,,Female,Other relative
PE071034,8,18,Female,Uncle/Aunt,,,,,Female,Uncle/Aunt
PE071034,9,46,Male,Other relative,,,,,Male,Other relative
PE071034,15,6,Female,Uncle/Aunt,,,,,Female,Uncle/Aunt
PE071034,16,1,Male,Brother/sister,3,Male,Brother/sister,7,Male,Brother/sister
PE071034,17,,,,2,Female,Brother/sister,6,Female,Brother/sister
PE071035,0,5,Male,YL Child,8,Male,YL Child,12,Male,YL Child
PE071035,1,33,Male,Biological parent,35,Male,Biological parent,39,Male,Biological parent
PE071035,2,36,Female,Biological parent,40,Female,Biological parent,44,Female,Biological parent
PE071035,3,14,Male,Half-sibling (same mother),16,Male,Half-sibling (same mother),21,Male,Half-sibling (same mother)
PE071035,4,66,Male,Paternal grandparent,,,,73,Male,Paternal grandparent
PE071035,5,,,,16,Male,Cousin,20,Male,Cousin
PE071035,6,,,,,,,2,Male,Brother/sister
PE071036,0,5,Female,YL Child,7,Female,YL Child,11,Female,YL Child
PE071036,1,56,Female,Paternal grandparent,58,Female,Paternal grandparent,62,Female,Paternal grandparent
PE071036,2,31,Male,Uncle/Aunt,,,,,Male,
PE071036,3,30,Female,Uncle/Aunt,,,,,Female,
PE071036,4,11,Female,Cousin,,,,,Female,
PE071036,5,56,Male,Paternal grandparent,55,Male,Paternal grandparent,59,Male,Paternal grandparent
PE071037,0,5,Male,YL Child,8,Male,YL Child,12,Male,YL Child
PE071037,1,42,Male,Biological parent,43,Male,Biological parent,48,Male,Biological parent
PE071037,2,34,Female,Biological parent,37,Female,Biological parent,41,Female,Biological parent
PE071037,3,11,Female,Brother/sister,14,Female,Brother/sister,18,Female,Brother/sister
PE071037,4,65,Female,Paternal grandparent,,,,,Female,
PE071037,5,40,Male,Uncle/Aunt,,,,,Male,
PE071037,6,24,Female,Uncle/Aunt,,,,,Female,
PE071037,7,16,Female,Cousin,,,,,Female,
PE071037,8,,,,83,Female,Great-grandparent (Mother's side),87,Female,Great-grandparent (Mother's side)
PE071037,9,,,,39,Male,Uncle/Aunt,43,Male,Uncle/Aunt
PE071038,0,5,Male,YL Child,7,Male,YL Child,11,Male,YL Child
PE071038,1,28,Female,Biological parent,31,Female,Biological parent,35,Female,Biological parent
PE071038,2,64,Female,Maternal grandparent,66,Female,Maternal grandparent,71,Female,Maternal grandparent
PE071038,3,31,Female,Uncle/Aunt,,,,,Female,
PE071038,4,17,Male,Cousin,,,,,Male,
PE071038,5,,,,18,Male,Cousin,22,Male,Cousin
PE071039,0,5,Male,YL Child,7,Male,YL Child,11,Male,YL Child
PE071039,1,39,Male,Biological parent,41,Male,Biological parent,45,Male,Biological parent
PE071039,2,40,Female,Biological parent,42,Female,Biological parent,46,Female,Biological parent
PE071039,3,17,Male,Brother/sister,20,Male,Brother/sister,23,Male,Brother/sister
PE071039,4,15,Male,Brother/sister,18,Male,Brother/sister,22,Male,Brother/sister
PE071039,5,11,Male,Brother/sister,14,Male,Brother/sister,18,Male,Brother/sister
PE071039,6,,,,,,,2,Female,Brother/sister
PE071040,0,5,Male,YL Child,8,Male,YL Child,12,Male,YL Child
PE071040,1,27,Female,Biological parent,29,Female,Biological parent,32,Female,Biological parent
PE071040,2,27,Male,Biological parent,29,Male,Biological parent,33,Male,Biological parent
PE071040,3,,,,,,,2,Female,Brother/sister
PE071041,0,5,Female,YL Child,8,Female,YL Child,12,Female,YL Child
PE071041,1,30,Male,Biological parent,33,Male,Biological parent,37,Male,Biological parent
PE071041,2,30,Female,Biological parent,33,Female,Biological parent,37,Female,Biological parent
PE071041,3,61,Male,Maternal grandparent,,,,,Male,
PE071041,4,56,Female,Maternal grandparent,,,,,,
PE071041,5,21,Male,Uncle/Aunt,,,,,Male,
PE071041,6,17,Female,Uncle/Aunt,,,,,Female,
PE071041,7,,,,,,,47,Male,Step-parent
PE071042,0,5,Male,YL Child,8,Male,YL Child,12,Male,YL Child
PE071042,1,32,Male,Biological parent,36,Male,Biological parent,40,Male,Biological parent
PE071042,2,35,Female,Biological parent,38,Female,Biological parent,42,Female,Biological parent
PE071042,3,15,Female,Brother/sister,18,Female,Brother/sister,22,Female,Brother/sister
PE071042,4,10,Female,Brother/sister,13,Female,Brother/sister,17,Female,Brother/sister
PE071042,5,66,Male,Maternal grandparent,,,,77,Male,Maternal grandparent
PE071042,6,49,Male,Uncle/Aunt,48,Male,Uncle/Aunt,52,Male,Uncle/Aunt
PE071042,7,46,Female,Uncle/Aunt,48,Female,Uncle/Aunt,52,Female,Uncle/Aunt
PE071042,8,26,Male,Cousin,27,Male,Cousin,31,Male,Cousin
PE071042,9,17,Female,Cousin,20,Female,Cousin,24,Female,Cousin
PE071042,10,15,Female,Cousin,17,Female,Cousin,21,Female,Cousin
PE071042,11,29,Male,Uncle/Aunt,,,,,Male,
PE071042,12,28,Female,Uncle/Aunt,,,,,Female,
PE071042,15,8,Male,Brother/sister,10,Male,Brother/sister,14,Male,Brother/sister
PE071042,16,7,Male,Cousin,,,,,Male,
PE071042,17,5,Male,Cousin,,,,,Male,
PE071042,18,,,,25,Female,Cousin,29,Female,Cousin
PE071042,19,,,,6,Male,Nephew/Niece,10,Male,Nephew/Niece
PE071042,20,,,,1,Male,Nephew/Niece,5,Male,Nephew/Niece
PE071042,21,,,,20,Male,Cousin,24,Male,Cousin
PE071042,22,,,,1,Male,Nephew/Niece,5,Male,Nephew/Niece
PE071042,23,,,,,,,22,Male,Brother/sister-in-law
PE071042,24,,,,,,,3,Female,Cousin
PE071043,0,5,Male,YL Child,8,Male,YL Child,12,Male,YL Child
PE071043,1,41,Male,Biological parent,43,Male,Biological parent,47,Male,Biological parent
PE071043,2,35,Female,Biological parent,37,Female,Biological parent,41,Female,Biological parent
PE071043,3,12,Male,Brother/sister,14,Male,Brother/sister,18,Male,Brother/sister
PE071043,4,87,Female,Uncle/Aunt,,,,,Female,Uncle/Aunt
PE071043,5,22,Female,Cousin,23,Female,Cousin,27,Female,Cousin
PE071044,0,5,Female,YL Child,8,Female,YL Child,12,Female,YL Child
PE071044,1,27,Male,Biological parent,30,Male,Biological parent,34,Male,Biological parent
PE071044,2,28,Female,Biological parent,30,Female,Biological parent,34,Female,Biological parent
PE071044,3,0,Male,Brother/sister,3,Male,Brother/sister,7,Male,Brother/sister
PE071045,0,5,Female,YL Child,7,Female,YL Child,11,Female,YL Child
PE071045,1,35,Female,Biological parent,37,Female,Biological parent,41,Female,Biological parent
PE071045,2,13,Female,Brother/sister,15,Female,Brother/sister,19,Female,Brother/sister
PE071045,3,11,Female,Cousin,13,Female,Cousin,17,Female,Cousin
PE071045,4,29,Female,Uncle/Aunt,31,Female,Uncle/Aunt,35,Female,Uncle/Aunt
PE071045,5,24,Male,Uncle/Aunt,,,,30,Male,
PE071045,6,,,,1,Male,Brother/sister,4,Male,Brother/sister
PE071046,0,5,Male,YL Child,7,Male,YL Child,11,Male,YL Child
PE071046,1,25,Female,Biological parent,28,Female,Biological parent,32,Female,Biological parent
PE071046,2,54,Male,Maternal grandparent,56,Male,Maternal grandparent,61,Male,Maternal grandparent
PE071046,3,51,Female,Maternal grandparent,53,Female,Maternal grandparent,57,Female,Maternal grandparent
PE071046,4,14,Female,Uncle/Aunt,17,Female,Uncle/Aunt,22,Female,Uncle/Aunt
PE071046,5,9,Female,Uncle/Aunt,,,,17,Female,Uncle/Aunt
PE071046,6,29,Female,Uncle/Aunt,32,Female,Uncle/Aunt,36,Male,Uncle/Aunt
PE071046,7,7,Female,Cousin,,,,14,Female,Cousin
PE071046,8,6,Male,Cousin,,,,12,Male,Cousin
PE071046,9,,,,,,,32,Male,Uncle/Aunt
PE071046,10,,,,,,,4,Male,Cousin
PE071047,0,5,Male,YL Child,8,Male,YL Child,12,Male,YL Child
PE071047,1,35,Male,Biological parent,38,Male,Biological parent,41,Male,Biological parent
PE071047,2,29,Female,Biological parent,32,Female,Biological parent,36,Female,Biological parent
PE071047,3,62,Male,Paternal grandparent,64,Male,Paternal grandparent,68,Male,Paternal grandparent
PE071047,4,56,Female,Paternal grandparent,58,Female,Paternal grandparent,62,Female,Paternal grandparent
PE071047,5,29,Male,Uncle/Aunt,32,Male,Uncle/Aunt,36,Male,Uncle/Aunt
PE071047,6,32,Male,Uncle/Aunt,,,,,Male,
PE071047,7,26,Female,Uncle/Aunt,,,,,Female,
PE071047,8,10,Female,Cousin,,,,,Female,
PE071047,15,7,Male,Brother/sister,10,Male,Brother/sister,14,Male,Brother/sister
PE071047,16,6,Female,Cousin,,,,,Female,
PE071047,17,3,Male,Cousin,,,,,Male,
PE071048,0,5,Male,YL Child,7,Male,YL Child,11,Male,YL Child
PE071048,1,43,Male,Biological parent,45,Male,Biological parent,49,Male,Biological parent
PE071048,2,41,Female,Biological parent,43,Female,Biological parent,47,Female,Biological parent
PE071048,3,13,Male,Brother/sister,15,Male,Brother/sister,19,Male,Brother/sister
PE071048,4,66,Male,Maternal grandparent,68,Male,Maternal grandparent,82,Male,Maternal grandparent
PE071048,5,68,Female,Maternal grandparent,,,,,Female,
PE071048,6,53,Female,Uncle/Aunt,55,Female,Uncle/Aunt,59,Female,Uncle/Aunt
PE071048,7,38,Female,Uncle/Aunt,,,,,Female,
PE071048,8,34,Female,Uncle/Aunt,,,,,Female,
PE071048,9,27,Female,Uncle/Aunt,,,,,Female,
PE071048,10,36,Male,Uncle/Aunt,,,,44,Male,Uncle/Aunt
PE071048,11,42,Male,Uncle/Aunt,,,,,Male,
PE071048,12,25,Female,Uncle/Aunt,,,,,Female,
PE071048,15,5,Male,Cousin,,,,,Male,
PE071048,16,,,,0,Female,Brother/sister,4,Female,Brother/sister
PE071049,0,5,Female,YL Child,7,Female,YL Child,11,Female,YL Child
PE071049,1,29,Female,Biological parent,31,Female,Biological parent,35,Female,Biological parent
PE071049,2,55,Male,Maternal grandparent,57,Male,Maternal grandparent,60,Male,Maternal grandparent
PE071049,3,48,Female,Maternal grandparent,49,Female,Maternal grandparent,53,Female,Maternal grandparent
PE071049,4,27,Female,Uncle/Aunt,,,,33,Female,Uncle/Aunt
PE071049,15,7,Male,Uncle/Aunt,10,Male,Uncle/Aunt,14,Male,Uncle/Aunt
PE071049,16,2,Female,Half-sibling (same mother),4,Female,Half-sibling (same mother),8,Female,Half-sibling (same mother)
PE071049,17,0,Male,Half-sibling (same mother),2,Male,Half-sibling (same mother),6,Male,Half-sibling (same mother)
PE071049,18,36,Male,Step-parent,38,Male,Step-parent,42,Male,Step-parent
PE071049,19,,,,0,Male,Half-sibling (same mother),4,Male,Half-sibling (same mother)
PE071050,0,5,Male,YL Child,8,Male,YL Child,12,Male,YL Child
PE071050,1,35,Male,Biological parent,37,Male,Biological parent,41,Male,Biological parent
PE071050,2,36,Female,Biological parent,37,Female,Biological parent,42,Female,Biological parent
PE071050,3,11,Male,Brother/sister,13,Male,Brother/sister,18,Male,Brother/sister
PE071050,4,13,Female,Half-sibling (same father),,,,,Female,Half-sibling (same father)
PE071050,5,,,,1,Female,Brother/sister,5,Female,Brother/sister
PE071050,6,,,,,,,3,Female,Brother/sister
PE071051,0,5,Female,YL Child,8,Female,YL Child,12,Female,YL Child
PE071051,1,33,Female,Biological parent,35,Female,Biological parent,39,Female,Biological parent
PE071051,2,,,,37,Male,Biological parent,41,Male,Biological parent
PE071052,0,5,Male,YL Child,7,Male,YL Child,11,Male,YL Child
PE071052,1,39,Male,Biological parent,41,Male,Biological parent,45,Male,Biological parent
PE071052,2,36,Female,Biological parent,38,Female,Biological parent,42,Female,Biological parent
PE071052,3,14,Female,Brother/sister,16,Female,Brother/sister,20,Female,Brother/sister
PE071052,4,11,Male,Brother/sister,13,Male,Brother/sister,16,Male,Brother/sister
PE071052,5,40,Male,Uncle/Aunt,,,,45,Male,Uncle/Aunt
PE071052,6,,,,1,Male,Brother/sister,5,Male,Brother/sister
PE071053,0,5,Male,YL Child,8,Male,YL Child,12,Male,YL Child
PE071053,1,37,Male,Biological parent,40,Male,Biological parent,44,Male,Biological parent
PE071053,2,31,Female,Biological parent,34,Female,Biological parent,38,Female,Biological parent
PE071053,3,13,Male,Brother/sister,15,Male,Brother/sister,19,Male,Brother/sister
PE071053,4,2,Female,Brother/sister,5,Female,Brother/sister,9,Female,Brother/sister
PE071054,0,5,Female,YL Child,7,Female,YL Child,11,Female,YL Child
PE071054,1,28,Male,Biological parent,30,Male,Biological parent,34,Male,Biological parent
PE071054,2,28,Female,Biological parent,30,Female,Biological parent,34,Female,Biological parent
PE071054,3,9,Female,Half-sibling (same mother),,,,16,Female,
PE071054,4,49,Male,Paternal grandparent,,,,,Male,
PE071054,5,50,Female,Paternal grandparent,,,,,Female,
PE071054,6,20,Female,Uncle/Aunt,,,,,Female,
PE071054,7,13,Female,Uncle/Aunt,,,,,Female,
PE071054,8,17,Male,Uncle/Aunt,,,,,Male,
PE071054,9,10,Female,Uncle/Aunt,,,,,Female,
PE071054,10,9,Female,Uncle/Aunt,,,,,Female,
PE071054,15,7,Male,Brother/sister,9,Male,Brother/sister,13,Male,Brother/sister
PE071054,16,5,Male,Uncle/Aunt,,,,12,Male,
PE071055,0,5,Male,YL Child,8,Male,YL Child,12,Male,YL Child
PE071055,1,32,Female,Biological parent,34,Female,Biological parent,38,Female,Biological parent
PE071055,2,34,Male,Biological parent,36,Male,Biological parent,40,Male,Biological parent
PE071055,3,14,Male,Brother/sister,16,Male,Brother/sister,20,Male,Brother/sister
PE071055,4,10,Female,Brother/sister,13,Female,Brother/sister,17,Female,Brother/sister
PE071055,15,7,Female,Brother/sister,10,Female,Brother/sister,14,Female,Brother/sister
PE071056,0,5,Male,YL Child,8,Male,YL Child,12,Male,YL Child
PE071056,1,32,Male,Biological parent,35,Male,Biological parent,39,Male,Biological parent
PE071056,2,33,Female,Biological parent,36,Female,Biological parent,40,Female,Biological parent
PE071056,3,12,Male,Brother/sister,14,Male,Brother/sister,18,Male,Brother/sister
PE071056,4,54,Female,Paternal grandparent,,,,62,Female,Paternal grandparent
PE071056,5,30,Male,Uncle/Aunt,,,,36,Male,Uncle/Aunt
PE071056,6,23,Female,Uncle/Aunt,,,,30,Female,Uncle/Aunt
PE071056,7,16,Male,Uncle/Aunt,,,,22,Male,Uncle/Aunt
PE071056,8,,,,,,,26,Male,"Other, unrelated"
PE071057,0,5,Male,YL Child,8,Male,YL Child,12,Male,YL Child
PE071057,1,39,Male,Biological parent,,,,,Male,Biological parent
PE071057,2,31,Female,Biological parent,33,Female,Biological parent,37,Female,Biological parent
PE071057,3,13,Male,Brother/sister,16,Male,Brother/sister,20,Male,Brother/sister
PE071057,4,11,Male,Brother/sister,14,Male,Brother/sister,18,Male,Brother/sister
PE071057,5,10,Male,Brother/sister,13,Male,Brother/sister,17,Male,Brother/sister
PE071057,6,,,,,,,84,Male,Maternal grandparent
PE071058,0,5,Female,YL Child,8,Female,YL Child,12,Female,YL Child
PE071058,1,39,Male,Biological parent,40,Male,Biological parent,43,Male,Biological parent
PE071058,2,39,Female,Biological parent,41,Female,Biological parent,43,Female,Biological parent
PE071058,3,84,Female,Paternal grandparent,,,,,Female,Paternal grandparent
PE071058,4,20,Female,Brother/sister,,,,,Female,Brother/sister
PE071058,5,16,Male,Brother/sister,19,Male,Brother/sister,23,Male,Brother/sister
PE071059,0,5,Female,YL Child,7,Female,YL Child,11,Female,YL Child
PE071059,1,30,Male,Biological parent,,,,,Male,
PE071059,2,32,Female,Biological parent,34,Female,Biological parent,38,Female,Biological parent
PE071059,3,3,Female,Brother/sister,5,Female,Brother/sister,9,Female,Brother/sister
PE071059,4,,,,55,Male,Paternal grandparent,58,Male,Paternal grandparent
PE071059,5,,,,52,Female,Paternal grandparent,55,Female,Paternal grandparent
PE071059,6,,,,20,Male,Uncle/Aunt,25,Male,Uncle/Aunt
PE071059,7,,,,20,Female,Uncle/Aunt,25,Female,Uncle/Aunt
PE071059,8,,,,,,,2,Female,Cousin
PE071060,0,5,Male,YL Child,7,Male,YL Child,11,Male,YL Child
PE071060,1,28,Male,Biological parent,31,Male,Biological parent,34,Male,Biological parent
PE071060,2,29,Female,Biological parent,32,Female,Biological parent,36,Female,Biological parent
PE071060,3,,,,,,,69,Female,Maternal grandparent
PE071060,4,,,,,,,54,Male,Maternal grandparent
PE071061,0,5,Male,YL Child,8,Male,YL Child,12,Male,YL Child
PE071061,1,37,Male,Biological parent,40,Male,Biological parent,44,Male,Biological parent
PE071061,2,38,Female,Biological parent,41,Female,Biological parent,45,Female,Biological parent
PE071061,3,16,Male,Brother/sister,18,Male,Brother/sister,22,Male,Brother/sister
PE071061,4,38,Male,Uncle/Aunt,,,,,Male,
PE071061,5,39,Female,Uncle/Aunt,,,,,Female,
PE071061,6,16,Male,Cousin,,,,,Male,
PE071061,7,15,Male,Cousin,,,,,Male,
PE071061,8,12,Female,Cousin,,,,,Female,
PE071061,15,6,Male,Cousin,,,,,Male,
PE071062,0,5,Female,YL Child,8,Female,YL Child,12,Female,YL Child
PE071062,1,48,Male,Step-parent,,,,,Male,"Other, unrelated"
PE071062,2,31,Female,Biological parent,35,Female,Biological parent,38,Female,Biological parent
PE071062,3,1,Male,Half-sibling (same mother),3,Male,Half-sibling (same mother),7,Male,Half-sibling (same mother)
PE071062,4,,,,22,Male,Uncle/Aunt,26,Male,Uncle/Aunt
PE071062,5,,,,,,,2,Female,Half-sibling (same mother)
PE071062,6,,,,,,,47,Male,Step-parent
PE071063,1,,,,,,,,,
PE071063,2,,,,,,,,,
PE071063,3,,,,,,,,,
PE071063,15,,,,,,,,,
PE071064,0,5,Female,YL Child,7,Female,YL Child,11,Female,YL Child
PE071064,1,25,Male,Biological parent,27,Male,Biological parent,30,Male,Biological parent
PE071064,2,21,Female,Biological parent,24,Female,Biological parent,28,Female,Biological parent
PE071064,3,50,Male,Maternal grandparent,53,Male,Maternal grandparent,57,Male,Maternal grandparent
PE071064,4,40,Female,Maternal grandparent,43,Female,Maternal grandparent,47,Female,Maternal grandparent
PE071064,5,19,Male,Uncle/Aunt,21,Male,Uncle/Aunt,25,Male,Uncle/Aunt
PE071064,6,16,Female,Uncle/Aunt,19,Female,Uncle/Aunt,23,Female,Uncle/Aunt
PE071064,7,14,Female,Uncle/Aunt,,,,21,Female,Uncle/Aunt
PE071064,8,12,Male,Uncle/Aunt,15,Male,Uncle/Aunt,19,Male,Uncle/Aunt
PE071064,9,0,Female,Uncle/Aunt,3,Female,Uncle/Aunt,7,Female,Cousin
PE071064,10,,,,,,,2,Female,Brother/sister
PE071065,1,,,,,,,,,
PE071065,2,,,,,,,,,
PE071065,3,,,,,,,,,
PE071065,15,,,,,,,,,
PE071066,0,5,Male,YL Child,8,Male,YL Child,12,Male,YL Child
PE071066,1,25,Male,Biological parent,28,Male,Biological parent,31,Male,Biological parent
PE071066,2,25,Female,Biological parent,28,Female,Biological parent,31,Female,Biological parent
PE071066,3,27,Male,Uncle/Aunt,29,Male,Uncle/Aunt,34,Male,Uncle/Aunt
PE071066,4,22,Male,Uncle/Aunt,,,,,Male,Uncle/Aunt
PE071066,5,0,Male,Brother/sister,3,Male,Brother/sister,7,Male,Brother/sister
PE071066,6,72,Male,Other relative,,,,,Male,Other relative
PE071067,0,5,Female,YL Child,8,Female,YL Child,12,Female,YL Child
PE071067,1,35,Male,Biological parent,38,Male,Biological parent,42,Male,Biological parent
PE071067,2,26,Female,Biological parent,29,Female,Biological parent,33,Female,Biological parent
PE071067,3,52,Male,Maternal grandparent,,,,60,Male,Maternal grandparent
PE071067,4,48,Female,Maternal grandparent,,,,59,Female,Maternal grandparent
PE071067,5,30,Male,Uncle/Aunt,,,,37,Male,Uncle/Aunt
PE071067,6,29,Male,Uncle/Aunt,,,,35,Male,Uncle/Aunt
PE071067,7,23,Male,Uncle/Aunt,,,,30,Male,Uncle/Aunt
PE071067,8,22,Male,Uncle/Aunt,,,,28,Male,Uncle/Aunt
PE071068,0,5,Male,YL Child,7,Male,YL Child,11,Male,YL Child
PE071068,1,25,Male,Biological parent,28,Male,Biological parent,32,Male,Biological parent
PE071068,2,25,Female,Biological parent,27,Female,Biological parent,32,Female,Biological parent
PE071068,3,46,Male,Paternal grandparent,,,,,Male,
PE071068,4,42,Female,Paternal grandparent,,,,,Female,
PE071068,5,20,Female,Uncle/Aunt,,,,,Female,
PE071068,6,,,,,,,0,Male,Brother/sister
PE071069,0,5,Male,YL Child,7,Male,YL Child,11,Male,YL Child
PE071069,1,26,Male,Biological parent,28,Male,Biological parent,32,Male,Biological parent
PE071069,2,27,Female,Biological parent,29,Female,Biological parent,35,Female,Biological parent
PE071069,3,51,Male,Paternal grandparent,54,Male,Paternal grandparent,58,Male,Paternal grandparent
PE071069,4,49,Female,Paternal grandparent,51,Female,Paternal grandparent,55,Female,Paternal grandparent
PE071069,5,29,Male,Uncle/Aunt,31,Male,Uncle/Aunt,36,Male,Uncle/Aunt
PE071069,6,30,Female,Uncle/Aunt,33,Female,Uncle/Aunt,37,Female,Uncle/Aunt
PE071069,15,7,Female,Brother/sister,10,Female,Brother/sister,14,Female,Brother/sister
PE071069,16,7,Female,Cousin,10,Female,Cousin,14,Female,Cousin
PE071069,17,5,Male,Cousin,7,Male,Cousin,11,Male,Cousin
PE071069,18,,,,,,,3,Male,Brother/sister
PE071070,0,5,Female,YL Child,7,Female,YL Child,11,Female,YL Child
PE071070,1,27,Female,Biological parent,29,Female,Biological parent,34,Female,Biological parent
PE071070,2,32,Male,Biological parent,,,,,Male,Biological parent
PE071070,3,59,Male,Maternal grandparent,62,Male,Maternal grandparent,65,Male,Maternal grandparent
PE071070,4,53,Female,Maternal grandparent,55,Female,Maternal grandparent,59,Female,Maternal grandparent
PE071070,5,31,Male,Uncle/Aunt,34,Male,Uncle/Aunt,,Male,Uncle/Aunt
PE071070,6,29,Male,Uncle/Aunt,31,Male,Uncle/Aunt,35,Male,Uncle/Aunt
PE071070,7,23,Female,Uncle/Aunt,25,Female,Uncle/Aunt,30,Female,Uncle/Aunt
PE071070,8,22,Male,Uncle/Aunt,24,Male,Uncle/Aunt,28,Male,Uncle/Aunt
PE071070,9,20,Male,Uncle/Aunt,20,Male,Uncle/Aunt,26,Male,Uncle/Aunt
PE071070,10,15,Female,Uncle/Aunt,18,Female,Uncle/Aunt,22,Female,Uncle/Aunt
PE071071,0,5,Male,YL Child,7,Male,YL Child,11,Male,YL Child
PE071071,1,24,Male,Biological parent,27,Male,Biological parent,31,Male,Biological parent
PE071071,2,25,Female,Biological parent,27,Female,Biological parent,32,Female,Biological parent
PE071071,3,3,Female,Brother/sister,6,Female,Brother/sister,10,Female,Brother/sister
PE071072,0,5,Male,YL Child,8,Male,YL Child,12,Male,YL Child
PE071072,1,50,Male,Biological parent,52,Male,Biological parent,56,Male,Biological parent
PE071072,2,44,Female,Biological parent,49,Female,Biological parent,51,Female,Biological parent
PE071072,3,26,Male,Brother/sister,29,Male,Brother/sister,32,Male,Brother/sister
PE071072,4,22,Male,Brother/sister,25,Male,Brother/sister,29,Male,Brother/sister
PE071072,5,16,Male,Brother/sister,19,Male,Brother/sister,23,Male,Brother/sister
PE071072,6,17,Male,Cousin,,,,25,Male,Cousin
PE071073,0,5,Male,YL Child,8,Male,YL Child,12,Male,YL Child
PE071073,1,32,Female,Biological parent,34,Female,Biological parent,38,Female,Biological parent
PE071073,2,58,Male,Maternal grandparent,60,Male,Maternal grandparent,64,Male,Maternal grandparent
PE071073,3,51,Female,Maternal grandparent,54,Female,Maternal grandparent,57,Female,Maternal grandparent
PE071073,4,15,Male,Uncle/Aunt,18,Male,Uncle/Aunt,22,Male,Uncle/Aunt
PE071073,5,9,Male,Uncle/Aunt,12,Male,Uncle/Aunt,16,Male,Uncle/Aunt
PE071073,6,,,,,,,35,Female,Uncle/Aunt
PE071073,7,,,,,,,35,Male,Uncle/Aunt
PE071073,8,,,,,,,10,Female,Cousin
PE071073,9,,,,,,,7,Male,Cousin
PE071073,10,,,,,,,1,Male,Cousin
PE071073,11,,,,,,,39,Male,Uncle/Aunt
PE071073,12,,,,,,,35,Male,Step-parent
PE071074,0,5,Male,YL Child,7,Male,YL Child,11,Male,YL Child
PE071074,1,39,Male,Biological parent,41,Male,Biological parent,45,Male,Biological parent
PE071074,2,35,Female,Biological parent,37,Female,Biological parent,41,Female,Biological parent
PE071074,3,14,Male,Brother/sister,16,Male,Brother/sister,20,Male,Brother/sister
PE071074,4,12,Female,Brother/sister,15,Female,Brother/sister,19,Female,Brother/sister
PE071075,0,5,Female,YL Child,7,Female,YL Child,11,Female,YL Child
PE071075,1,30,Female,Uncle/Aunt,32,Female,Adoptive parent,36,Female,Adoptive parent
PE071075,2,55,Male,Maternal grandparent,,,,,Male,
PE071075,3,50,Female,Maternal grandparent,,,,,Female,
PE071075,4,13,Female,Uncle/Aunt,,,,,Female,
PE071075,5,27,Male,Adoptive parent,33,Male,Adoptive parent,37,Male,Adoptive parent
PE071076,0,5,Female,YL Child,8,Female,YL Child,12,Female,YL Child
PE071076,1,28,Male,Biological parent,30,Male,Biological parent,34,Male,Biological parent
PE071076,2,35,Female,Biological parent,37,Female,Biological parent,41,Female,Biological parent
PE071076,3,10,Male,Brother/sister,12,Male,Brother/sister,16,Male,Brother/sister
PE071077,0,5,Male,YL Child,7,Male,YL Child,11,Male,YL Child
PE071077,1,22,Male,Biological parent,25,Male,Biological parent,28,Male,Biological parent
PE071077,2,20,Female,Biological parent,23,Female,Biological parent,26,Female,Biological parent
PE071077,3,41,Male,Paternal grandparent,,,,,Male,Paternal grandparent
PE071077,4,20,Male,Uncle/Aunt,,,,,Male,Uncle/Aunt
PE071077,5,0,Male,Brother/sister,2,Male,Brother/sister,6,Male,Brother/sister
PE071078,0,5,Male,YL Child,7,Male,YL Child,11,Male,YL Child
PE071078,1,26,Female,Biological parent,29,Female,Biological parent,32,Female,Biological parent
PE071078,2,29,Male,Biological parent,31,Male,Biological parent,35,Male,Biological parent
PE071078,3,,,,1,Female,Brother/sister,5,Female,Brother/sister
