hhid,roster_id,age,sex,mother_id,education_complete,current_grade
422,2,33,Mujer,,beyond secondary,
422,3,9,Hombre,2,beyond secondary,4
423,1,50,Hombre,,beyond secondary,
423,2,42,Mujer,,beyond secondary,
423,3,19,Hombre,2,beyond secondary,
423,4,9,Hombre,2,beyond secondary,4
424,2,61,Mujer,,beyond secondary,
424,7,20,Mujer,2,beyond secondary,
424,9,22,Hombre,,beyond secondary,
424,10,16,Hombre,,beyond secondary,
425,1,53,Hombre,,beyond secondary,
425,2,52,Mujer,,beyond secondary,
425,3,28,Mujer,2,beyond secondary,13
425,4,12,Hombre,3,beyond secondary,7
426,1,47,Hombre,,beyond secondary,
426,2,41,Mujer,,beyond secondary,
426,3,22,Hombre,2,beyond secondary,
426,4,21,Hombre,2,beyond secondary,
427,1,65,Mujer,,beyond secondary,
428,1,36,Mujer,,beyond secondary,
428,2,14,Mujer,1,beyond secondary,10
428,3,10,Hombre,1,beyond secondary,5
428,4,31,Hombre,,beyond secondary,
428,5,1,Mujer,1,beyond secondary,
429,1,59,Hombre,,beyond secondary,
429,2,53,Mujer,,beyond secondary,
429,4,13,Hombre,,beyond secondary,6
429,5,12,Hombre,,beyond secondary,5
429,6,13,Hombre,,beyond secondary,7
430,1,58,Hombre,,beyond secondary,
430,2,51,Mujer,,beyond secondary,
430,3,86,Hombre,,beyond secondary,
431,1,47,Hombre,,beyond secondary,
431,2,43,Mujer,,beyond secondary,
431,4,14,Mujer,2,beyond secondary,9
431,5,11,Mujer,2,beyond secondary,6
431,6,9,Mujer,2,beyond secondary,4
432,1,57,Hombre,,beyond secondary,
432,2,45,Mujer,,beyond secondary,
432,6,8,Hombre,,beyond secondary,3
432,7,25,Mujer,2,beyond secondary,
432,8,5,Hombre,,beyond secondary,
432,9,4,Mujer,,beyond secondary,
432,10,0,Mujer,7,beyond secondary,
433,1,31,Hombre,,beyond secondary,
433,2,25,Mujer,,beyond secondary,
433,3,6,Mujer,2,beyond secondary,1
433,4,3,Hombre,2,beyond secondary,
434,1,52,Hombre,,beyond secondary,
434,2,60,Mujer,,beyond secondary,
434,3,25,Hombre,2,beyond secondary,16
434,4,22,Hombre,2,beyond secondary,12
434,5,19,Mujer,2,beyond secondary,14
435,1,46,Mujer,,beyond secondary,
435,2,21,Mujer,1,beyond secondary,12
435,3,15,Mujer,1,beyond secondary,9
435,4,12,Mujer,1,beyond secondary,7
435,5,3,Hombre,2,beyond secondary,
436,1,47,Hombre,,beyond secondary,
436,2,53,Mujer,,beyond secondary,
436,3,24,Hombre,2,beyond secondary,1
436,4,31,Mujer,2,beyond secondary,
436,5,10,Hombre,4,beyond secondary,6
437,1,49,Hombre,,beyond secondary,
438,2,38,Mujer,,beyond secondary,
437,7,22,Hombre,,beyond secondary,
437,10,4,Mujer,,beyond secondary,
437,11,19,Mujer,,beyond secondary,
437,12,14,Mujer,,beyond secondary,7
438,12,20,Mujer,,beyond secondary,
438,13,42,Hombre,,beyond secondary,
437,13,4,Mujer,11,beyond secondary,
437,14,16,Mujer,,beyond secondary,
438,14,4,Mujer,12,beyond secondary,
439,1,61,Mujer,,beyond secondary,
439,2,40,Hombre,1,beyond secondary,
440,1,52,Mujer,5,beyond secondary,
440,2,23,Hombre,1,beyond secondary,12
440,3,16,Hombre,1,beyond secondary,7
440,4,11,Hombre,1,beyond secondary,4
440,5,94,Mujer,,beyond secondary,
440,6,55,Hombre,5,beyond secondary,
440,8,4,Hombre,,beyond secondary,
440,9,3,Hombre,,beyond secondary,
441,2,69,Mujer,,beyond secondary,
442,1,47,Mujer,,beyond secondary,
443,2,24,Mujer,,beyond secondary,
443,3,9,Mujer,2,beyond secondary,3
442,5,15,Hombre,1,beyond secondary,
442,6,2,Hombre,1,beyond secondary,
443,6,20,Hombre,,beyond secondary,
443,7,2,Hombre,2,beyond secondary,
443,8,1,Hombre,2,beyond secondary,
444,1,29,Hombre,,beyond secondary,
444,2,25,Mujer,,beyond secondary,1
444,3,9,Mujer,2,beyond secondary,4
444,4,4,Mujer,2,beyond secondary,
444,5,2,Mujer,2,beyond secondary,
445,1,40,Mujer,,beyond secondary,
445,2,12,Mujer,1,beyond secondary,7
445,3,11,Hombre,1,beyond secondary,6
446,2,46,Mujer,,beyond secondary,
446,5,13,Mujer,2,beyond secondary,7
447,1,33,Hombre,,beyond secondary,
448,2,30,Mujer,9,beyond secondary,
448,3,13,Mujer,2,beyond secondary,5
448,4,11,Mujer,2,beyond secondary,3
448,5,9,Mujer,2,beyond secondary,3
448,6,7,Hombre,2,beyond secondary,2
448,7,4,Hombre,2,beyond secondary,
448,8,58,Hombre,,beyond secondary,
448,9,55,Mujer,,beyond secondary,
448,10,25,Hombre,9,beyond secondary,
448,11,23,Mujer,9,beyond secondary,
447,13,31,Mujer,,beyond secondary,
447,14,13,Mujer,13,beyond secondary,5
447,15,11,Hombre,13,beyond secondary,1
447,16,8,Mujer,,beyond secondary,3
447,17,7,Hombre,,beyond secondary,1
447,18,5,Mujer,13,beyond secondary,
447,19,2,Mujer,13,beyond secondary,
449,1,60,Hombre,,beyond secondary,
449,2,45,Mujer,,beyond secondary,
449,4,22,Hombre,2,beyond secondary,
449,6,1,Hombre,2,beyond secondary,
450,1,48,Hombre,,beyond secondary,
450,2,43,Mujer,5,beyond secondary,
450,3,14,Hombre,2,beyond secondary,7
450,4,12,Mujer,2,beyond secondary,6
450,5,80,Mujer,,beyond secondary,
450,6,55,Hombre,5,beyond secondary,
451,1,54,Mujer,,beyond secondary,
451,2,16,Mujer,1,beyond secondary,11
452,1,88,Hombre,,beyond secondary,
452,2,71,Mujer,,beyond secondary,
453,1,77,Hombre,,beyond secondary,
453,2,71,Mujer,,beyond secondary,
453,3,45,Mujer,2,beyond secondary,
454,1,43,Mujer,,beyond secondary,
454,4,29,Hombre,,beyond secondary,
455,1,32,Hombre,,beyond secondary,
456,2,28,Mujer,10,beyond secondary,
456,3,8,Hombre,2,beyond secondary,2
456,4,5,Mujer,2,beyond secondary,
455,5,67,Mujer,,beyond secondary,
455,6,25,Mujer,,beyond secondary,
455,7,2,Hombre,6,beyond secondary,
455,8,1,Hombre,6,beyond secondary,
456,9,10,Mujer,2,beyond secondary,6
456,10,61,Mujer,,beyond secondary,
456,11,39,Hombre,10,beyond secondary,
457,2,44,Mujer,,beyond secondary,
457,3,21,Mujer,2,beyond secondary,
457,4,15,Mujer,2,beyond secondary,10
457,5,0,Mujer,3,beyond secondary,
458,1,40,Hombre,,beyond secondary,
458,2,32,Mujer,,beyond secondary,
458,3,9,Mujer,2,beyond secondary,3
458,4,5,Hombre,2,beyond secondary,
458,5,4,Mujer,2,beyond secondary,
459,1,59,Hombre,,beyond secondary,
459,2,47,Mujer,11,beyond secondary,
459,5,19,Mujer,2,beyond secondary,8
459,6,15,Mujer,2,beyond secondary,5
459,8,8,Mujer,9,beyond secondary,2
459,9,29,Mujer,2,beyond secondary,
459,10,4,Hombre,9,beyond secondary,
459,11,81,Mujer,,beyond secondary,
460,1,50,Hombre,,beyond secondary,
460,2,47,Mujer,,beyond secondary,
460,3,19,Hombre,2,beyond secondary,13
460,4,25,Mujer,2,beyond secondary,
461,1,61,Mujer,4,beyond secondary,
461,4,88,Mujer,,beyond secondary,
461,5,51,Mujer,4,beyond secondary,
461,7,21,Hombre,5,beyond secondary,14
461,8,57,Hombre,4,beyond secondary,
461,9,26,Mujer,,beyond secondary,
461,10,16,Hombre,,beyond secondary,10
461,11,21,Hombre,,beyond secondary,15
461,12,35,Hombre,1,beyond secondary,
462,1,65,Hombre,,beyond secondary,
462,2,50,Mujer,,beyond secondary,
462,4,33,Mujer,2,beyond secondary,1
462,5,33,Hombre,,beyond secondary,
462,6,12,Hombre,4,beyond secondary,6
462,7,10,Hombre,4,beyond secondary,4
462,8,6,Mujer,4,beyond secondary,2
463,9,31,Mujer,,beyond secondary,2
463,11,11,Mujer,9,beyond secondary,7
463,12,8,Mujer,9,beyond secondary,4
463,13,2,Mujer,9,beyond secondary,
462,14,7,Hombre,,beyond secondary,1
464,1,67,Hombre,,beyond secondary,
464,2,61,Mujer,,beyond secondary,
464,3,31,Hombre,2,beyond secondary,
465,4,14,Hombre,6,beyond secondary,9
465,5,9,Mujer,6,beyond secondary,4
465,6,37,Mujer,,beyond secondary,
464,8,39,Mujer,2,beyond secondary,1
465,9,2,Mujer,6,beyond secondary,
464,10,12,Mujer,,beyond secondary,5
465,11,41,Hombre,,beyond secondary,
466,1,63,Hombre,,beyond secondary,
466,2,53,Mujer,,beyond secondary,
467,1,41,Mujer,,beyond secondary,
467,2,44,Hombre,,beyond secondary,
467,3,18,Hombre,1,beyond secondary,
467,4,15,Mujer,1,beyond secondary,7
467,5,13,Mujer,1,beyond secondary,6
467,6,11,Mujer,1,beyond secondary,3
468,1,33,Hombre,,beyond secondary,
468,2,28,Mujer,,beyond secondary,
468,3,11,Mujer,2,beyond secondary,6
469,1,37,Mujer,,beyond secondary,
469,2,19,Mujer,1,beyond secondary,
469,3,18,Hombre,1,beyond secondary,10
469,4,16,Mujer,1,beyond secondary,10
469,5,10,Mujer,1,beyond secondary,3
469,6,1,Hombre,2,beyond secondary,
470,1,64,Hombre,,beyond secondary,
470,2,52,Mujer,,beyond secondary,
470,3,26,Hombre,2,beyond secondary,15
470,4,24,Hombre,2,beyond secondary,
470,5,22,Hombre,2,beyond secondary,1
470,6,19,Hombre,2,beyond secondary,11
470,7,17,Hombre,2,beyond secondary,9
470,8,15,Mujer,2,beyond secondary,9
470,9,13,Mujer,,beyond secondary,7
471,1,52,Hombre,,beyond secondary,
471,2,51,Mujer,,beyond secondary,
471,3,15,Mujer,,beyond secondary,6
471,4,25,Mujer,2,beyond secondary,
471,5,7,Mujer,4,beyond secondary,2
471,6,4,Mujer,4,beyond secondary,
471,7,24,Hombre,,beyond secondary,
471,8,0,Hombre,4,beyond secondary,
472,1,48,Mujer,,beyond secondary,
472,5,52,Hombre,,beyond secondary,
473,1,46,Hombre,,beyond secondary,
473,2,43,Mujer,,beyond secondary,
473,3,23,Hombre,2,beyond secondary,13
473,5,15,Mujer,2,beyond secondary,10
473,6,35,Hombre,,beyond secondary,
473,7,19,Hombre,,beyond secondary,12
474,1,47,Mujer,,beyond secondary,
474,2,18,Mujer,1,beyond secondary,13
474,3,13,Hombre,1,beyond secondary,8
474,4,27,Mujer,,beyond secondary,15
474,7,16,Hombre,,beyond secondary,9
475,1,45,Mujer,,beyond secondary,
475,2,19,Mujer,1,beyond secondary,1
475,3,1,Mujer,2,beyond secondary,
476,1,34,Hombre,5,beyond secondary,
476,2,33,Mujer,,beyond secondary,
476,3,16,Mujer,,beyond secondary,9
476,4,5,Mujer,2,beyond secondary,
476,5,53,Mujer,,beyond secondary,
476,6,12,Mujer,,beyond secondary,6
476,7,57,Hombre,,beyond secondary,
477,1,73,Hombre,,beyond secondary,
477,2,71,Mujer,,beyond secondary,
477,3,15,Mujer,,beyond secondary,9
477,4,36,Hombre,2,beyond secondary,
478,1,51,Mujer,3,beyond secondary,
478,2,20,Hombre,1,beyond secondary,
478,3,76,Mujer,,beyond secondary,
478,4,30,Mujer,,beyond secondary,
479,1,66,Hombre,6,beyond secondary,
479,2,58,Mujer,,beyond secondary,
479,4,35,Mujer,2,beyond secondary,
479,5,7,Mujer,4,beyond secondary,2
479,6,86,Mujer,,beyond secondary,
479,8,33,Mujer,2,beyond secondary,
479,9,15,Hombre,8,beyond secondary,9
479,10,4,Hombre,8,beyond secondary,
480,1,57,Hombre,,beyond secondary,
480,2,53,Mujer,,beyond secondary,
480,3,24,Hombre,2,beyond secondary,
480,4,19,Hombre,2,beyond secondary,
480,6,7,Hombre,,beyond secondary,2
481,1,51,Mujer,8,beyond secondary,
481,3,28,Hombre,1,beyond secondary,
481,7,76,Hombre,,beyond secondary,
481,8,68,Mujer,,beyond secondary,
482,1,62,Hombre,,beyond secondary,
482,2,57,Mujer,,beyond secondary,
482,6,24,Hombre,,beyond secondary,
483,1,44,Mujer,,beyond secondary,
483,3,12,Hombre,1,beyond secondary,7
483,5,81,Hombre,,beyond secondary,
484,1,64,Hombre,,beyond secondary,
484,2,58,Mujer,,beyond secondary,
484,3,37,Mujer,2,beyond secondary,
484,4,6,Hombre,3,beyond secondary,1
485,1,76,Hombre,,beyond secondary,
485,2,63,Mujer,,beyond secondary,
486,1,62,Hombre,,beyond secondary,
486,2,51,Mujer,7,beyond secondary,
486,5,19,Mujer,2,beyond secondary,14
486,6,17,Hombre,2,beyond secondary,11
486,7,82,Mujer,,beyond secondary,
486,8,54,Mujer,7,beyond secondary,
487,1,38,Hombre,,beyond secondary,
487,2,29,Mujer,,beyond secondary,
487,3,9,Mujer,2,beyond secondary,2
487,4,6,Mujer,2,beyond secondary,1
488,1,64,Mujer,,beyond secondary,
488,2,42,Hombre,1,beyond secondary,
488,4,38,Mujer,,beyond secondary,
489,1,49,Mujer,3,beyond secondary,
489,3,85,Mujer,,beyond secondary,
489,4,66,Hombre,3,beyond secondary,
489,5,59,Hombre,3,beyond secondary,
489,6,57,Hombre,3,beyond secondary,
489,7,55,Mujer,3,beyond secondary,
489,8,20,Hombre,7,beyond secondary,13
489,9,49,Hombre,,beyond secondary,
490,1,47,Mujer,,beyond secondary,
490,2,29,Mujer,1,beyond secondary,16
490,3,15,Mujer,1,beyond secondary,9
490,4,57,Mujer,,beyond secondary,
491,1,36,Hombre,,beyond secondary,
491,2,35,Mujer,,beyond secondary,
491,3,13,Mujer,2,beyond secondary,7
491,4,10,Mujer,2,beyond secondary,5
491,5,8,Hombre,2,beyond secondary,3
492,1,69,Hombre,,beyond secondary,
492,2,71,Mujer,,beyond secondary,
493,1,52,Hombre,,beyond secondary,
493,2,48,Mujer,,beyond secondary,
493,3,20,Mujer,2,beyond secondary,14
494,1,70,Hombre,,beyond secondary,
494,2,66,Mujer,,beyond secondary,
495,1,53,Mujer,,beyond secondary,
495,4,21,Mujer,1,beyond secondary,
495,5,17,Hombre,1,beyond secondary,1
495,6,30,Mujer,1,beyond secondary,
495,7,26,Mujer,1,beyond secondary,
495,8,1,Hombre,4,beyond secondary,
495,9,27,Hombre,,beyond secondary,
496,1,54,Mujer,,beyond secondary,
496,2,18,Mujer,1,beyond secondary,1
496,3,15,Mujer,1,beyond secondary,11
496,4,13,Mujer,1,beyond secondary,7
497,2,21,Hombre,5,beyond secondary,
497,3,19,Hombre,5,beyond secondary,
497,4,12,Hombre,5,beyond secondary,7
497,5,48,Mujer,,beyond secondary,
497,6,85,Hombre,,beyond secondary,
498,1,66,Mujer,,beyond secondary,
498,2,70,Hombre,,beyond secondary,
498,3,28,Hombre,,beyond secondary,
498,4,18,Mujer,,beyond secondary,1
498,5,14,Hombre,,beyond secondary,4
499,1,56,Hombre,,beyond secondary,
499,2,50,Mujer,,beyond secondary,
499,4,13,Mujer,,beyond secondary,9
500,1,58,Hombre,,beyond secondary,
500,2,57,Mujer,,beyond secondary,
500,5,26,Hombre,2,beyond secondary,
501,6,16,Hombre,,beyond secondary,9
501,7,14,Hombre,,beyond secondary,8
500,8,10,Mujer,,beyond secondary,5
501,11,33,Mujer,12,beyond secondary,
501,12,65,Mujer,,beyond secondary,
501,13,63,Hombre,,beyond secondary,
501,14,25,Hombre,12,beyond secondary,1
501,15,6,Mujer,11,beyond secondary,1
502,1,50,Hombre,,beyond secondary,
502,2,45,Mujer,,beyond secondary,
502,3,20,Hombre,2,beyond secondary,
502,5,8,Mujer,2,beyond secondary,3
503,1,46,Hombre,,beyond secondary,
503,2,45,Mujer,,beyond secondary,
503,3,9,Hombre,2,beyond secondary,3
503,4,8,Hombre,2,beyond secondary,3
504,1,49,Hombre,,beyond secondary,
504,2,41,Mujer,,beyond secondary,
504,4,18,Hombre,2,beyond secondary,10
504,5,16,Hombre,2,beyond secondary,9
504,6,13,Mujer,2,beyond secondary,8
504,7,23,Hombre,2,beyond secondary,1
504,8,16,Mujer,,beyond secondary,10
505,1,63,Mujer,,beyond secondary,
505,2,68,Hombre,,beyond secondary,
506,1,52,Hombre,,beyond secondary,
506,2,50,Mujer,6,beyond secondary,
506,3,27,Mujer,2,beyond secondary,14
506,5,90,Hombre,,beyond secondary,
506,6,83,Mujer,,beyond secondary,
507,1,66,Mujer,,beyond secondary,
507,2,41,Hombre,1,beyond secondary,
507,3,36,Hombre,1,beyond secondary,
508,1,43,Hombre,,beyond secondary,
508,2,35,Mujer,,beyond secondary,
508,3,17,Mujer,2,beyond secondary,1
508,4,14,Mujer,2,beyond secondary,9
508,5,10,Hombre,2,beyond secondary,5
508,6,7,Mujer,2,beyond secondary,2
508,7,0,Hombre,3,beyond secondary,
509,1,63,Mujer,,beyond secondary,
509,3,23,Hombre,1,beyond secondary,
509,5,13,Hombre,,beyond secondary,6
509,6,29,Hombre,1,beyond secondary,
509,7,21,Mujer,1,beyond secondary,
509,8,3,Hombre,7,beyond secondary,
510,1,33,Hombre,,beyond secondary,
510,2,30,Mujer,,beyond secondary,
510,3,12,Mujer,2,beyond secondary,7
510,4,11,Hombre,2,beyond secondary,4
510,5,10,Hombre,2,beyond secondary,5
511,1,57,Hombre,,beyond secondary,
511,2,66,Mujer,,beyond secondary,
512,1,58,Hombre,,beyond secondary,
512,2,62,Mujer,,beyond secondary,
512,8,9,Hombre,,beyond secondary,4
513,1,53,Hombre,,beyond secondary,
513,2,49,Mujer,5,beyond secondary,
513,4,12,Hombre,2,beyond secondary,5
513,5,80,Mujer,,beyond secondary,
514,1,59,Hombre,,beyond secondary,
514,2,47,Mujer,,beyond secondary,
514,3,26,Hombre,2,beyond secondary,
514,5,8,Mujer,2,beyond secondary,1
515,1,29,Mujer,,beyond secondary,
515,2,6,Mujer,1,beyond secondary,1
515,6,0,Mujer,1,beyond secondary,
516,1,47,Hombre,,beyond secondary,
516,2,40,Mujer,,beyond secondary,
516,3,17,Hombre,2,beyond secondary,1
516,4,14,Mujer,2,beyond secondary,11
516,5,13,Mujer,2,beyond secondary,9
516,6,16,Mujer,,beyond secondary,11
518,2,46,Mujer,,beyond secondary,
519,5,17,Hombre,,beyond secondary,10
519,6,16,Hombre,,beyond secondary,9
519,8,83,Hombre,,beyond secondary,
519,9,74,Mujer,,beyond secondary,
517,9,64,Mujer,,beyond secondary,
517,10,13,Mujer,,beyond secondary,7
519,10,43,Hombre,9,beyond secondary,
519,11,50,Mujer,9,beyond secondary,
520,1,57,Hombre,,beyond secondary,
520,2,48,Mujer,,beyond secondary,
521,3,26,Mujer,,beyond secondary,
520,6,16,Hombre,2,beyond secondary,10
520,7,10,Hombre,,beyond secondary,4
520,8,6,Mujer,,beyond secondary,0
521,9,32,Hombre,,beyond secondary,
520,10,3,Mujer,,beyond secondary,
522,1,54,Mujer,,beyond secondary,
522,2,24,Hombre,1,beyond secondary,
522,3,17,Hombre,1,beyond secondary,12
522,4,74,Hombre,,beyond secondary,
522,5,75,Mujer,,beyond secondary,
522,6,71,Hombre,,beyond secondary,
523,1,69,Hombre,,beyond secondary,
523,2,64,Mujer,,beyond secondary,
523,5,40,Hombre,,beyond secondary,
524,1,74,Hombre,,beyond secondary,
524,2,53,Mujer,,beyond secondary,
524,4,15,Mujer,,beyond secondary,10
525,1,42,Hombre,,beyond secondary,
525,2,45,Mujer,,beyond secondary,
525,3,14,Hombre,2,beyond secondary,9
525,4,11,Hombre,2,beyond secondary,5
525,5,75,Hombre,,beyond secondary,
525,6,5,Mujer,2,beyond secondary,
526,1,53,Mujer,2,beyond secondary,
526,2,77,Mujer,,beyond secondary,
527,1,62,Hombre,,beyond secondary,
527,2,58,Mujer,,beyond secondary,
528,1,57,Hombre,4,beyond secondary,
528,2,47,Mujer,,beyond secondary,
528,3,11,Mujer,2,beyond secondary,6
528,4,89,Mujer,,beyond secondary,
529,1,49,Mujer,5,beyond secondary,
529,2,54,Hombre,,beyond secondary,
529,3,23,Hombre,1,beyond secondary,16
529,4,80,Hombre,,beyond secondary,
529,5,78,Mujer,,beyond secondary,
530,1,64,Mujer,,beyond secondary,
530,2,38,Mujer,1,beyond secondary,
531,3,43,Mujer,,beyond secondary,
530,4,18,Hombre,,beyond secondary,
531,5,13,Mujer,3,beyond secondary,7
530,7,21,Mujer,,beyond secondary,
531,8,44,Hombre,,beyond secondary,
531,9,4,Mujer,3,beyond secondary,
532,1,48,Mujer,5,beyond secondary,
532,2,21,Hombre,1,beyond secondary,13
532,3,17,Hombre,1,beyond secondary,
532,5,76,Mujer,,beyond secondary,
533,1,32,Hombre,,beyond secondary,
533,2,33,Mujer,4,beyond secondary,
533,3,7,Mujer,2,beyond secondary,2
533,4,65,Mujer,,beyond secondary,
533,6,3,Mujer,2,beyond secondary,
534,1,56,Hombre,,beyond secondary,
534,2,55,Mujer,5,beyond secondary,
534,3,28,Mujer,2,beyond secondary,
534,5,80,Mujer,,beyond secondary,
534,6,70,Mujer,,beyond secondary,
534,7,23,Hombre,,beyond secondary,
534,8,1,Hombre,3,beyond secondary,
535,1,62,Hombre,,beyond secondary,
535,2,62,Mujer,,beyond secondary,
536,1,45,Mujer,,beyond secondary,
536,2,16,Hombre,1,beyond secondary,11
536,3,14,Hombre,1,beyond secondary,9
536,6,35,Mujer,,beyond secondary,
537,1,49,Mujer,,beyond secondary,
537,3,26,Hombre,1,beyond secondary,13
537,5,16,Hombre,1,beyond secondary,11
537,6,21,Mujer,,beyond secondary,
538,1,59,Hombre,,beyond secondary,
538,2,50,Mujer,,beyond secondary,
538,4,24,Hombre,2,beyond secondary,15
539,1,34,Hombre,,beyond secondary,
539,2,24,Mujer,,beyond secondary,
539,3,5,Hombre,2,beyond secondary,
539,4,0,Mujer,2,beyond secondary,
540,1,32,Hombre,,beyond secondary,
540,2,26,Mujer,,beyond secondary,
540,3,8,Hombre,2,beyond secondary,2
541,1,51,Hombre,,beyond secondary,
541,2,47,Mujer,,beyond secondary,
541,5,13,Hombre,2,beyond secondary,6
542,1,53,Mujer,,beyond secondary,
542,2,23,Mujer,1,beyond secondary,
543,1,57,Hombre,,beyond secondary,
544,1,35,Mujer,4,beyond secondary,
544,2,17,Hombre,1,beyond secondary,
544,3,16,Mujer,1,beyond secondary,11
544,4,82,Mujer,,beyond secondary,
544,5,38,Hombre,4,beyond secondary,
544,6,34,Hombre,4,beyond secondary,
544,7,42,Hombre,4,beyond secondary,
544,8,57,Hombre,4,beyond secondary,
545,2,30,Mujer,,beyond secondary,
545,3,7,Mujer,2,beyond secondary,2
545,4,5,Mujer,2,beyond secondary,
546,1,37,Hombre,,beyond secondary,
546,2,33,Mujer,,beyond secondary,
546,3,16,Hombre,2,beyond secondary,7
546,4,14,Hombre,2,beyond secondary,6
546,5,12,Hombre,2,beyond secondary,4
546,6,10,Hombre,2,beyond secondary,3
546,7,7,Mujer,2,beyond secondary,2
546,8,5,Hombre,2,beyond secondary,
547,1,53,Hombre,,beyond secondary,
547,2,55,Mujer,,beyond secondary,
547,3,15,Hombre,,beyond secondary,7
547,4,13,Mujer,,beyond secondary,6
548,1,56,Hombre,,beyond secondary,
548,2,50,Mujer,,beyond secondary,
548,3,23,Hombre,2,beyond secondary,
548,4,15,Hombre,2,beyond secondary,
548,5,24,Mujer,,beyond secondary,
548,6,1,Mujer,5,beyond secondary,
548,7,0,Hombre,5,beyond secondary,
549,1,41,Hombre,,beyond secondary,
550,2,33,Mujer,,beyond secondary,
550,4,16,Hombre,2,beyond secondary,7
550,5,14,Mujer,2,beyond secondary,7
550,6,12,Hombre,2,beyond secondary,5
550,7,34,Mujer,,beyond secondary,
550,8,14,Hombre,7,beyond secondary,7
550,9,9,Mujer,7,beyond secondary,4
550,10,7,Hombre,7,beyond secondary,2
550,11,4,Mujer,7,beyond secondary,
550,12,31,Mujer,,beyond secondary,
550,13,9,Mujer,12,beyond secondary,4
550,14,6,Hombre,12,beyond secondary,0
550,15,4,Hombre,12,beyond secondary,
551,1,53,Hombre,,beyond secondary,
551,2,49,Mujer,,beyond secondary,
551,4,14,Hombre,2,beyond secondary,9
551,5,11,Mujer,2,beyond secondary,7
551,6,9,Hombre,2,beyond secondary,4
552,1,48,Hombre,,beyond secondary,
552,2,48,Mujer,,beyond secondary,
552,3,17,Mujer,2,beyond secondary,13
552,4,16,Hombre,2,beyond secondary,11
553,1,46,Hombre,,beyond secondary,
553,2,43,Mujer,,beyond secondary,
553,3,11,Hombre,2,beyond secondary,4
553,4,9,Hombre,2,beyond secondary,4
554,1,63,Mujer,,beyond secondary,
554,3,23,Hombre,1,beyond secondary,2
555,4,33,Mujer,,beyond secondary,
554,5,11,Hombre,,beyond secondary,6
555,6,8,Mujer,4,beyond secondary,3
555,7,6,Hombre,4,beyond secondary,0
555,8,34,Hombre,,beyond secondary,
555,9,15,Hombre,4,beyond secondary,11
556,1,62,Hombre,,beyond secondary,
556,2,58,Mujer,,beyond secondary,
557,1,38,Hombre,,beyond secondary,
557,2,34,Mujer,,beyond secondary,
557,3,13,Mujer,2,beyond secondary,8
557,4,10,Hombre,2,beyond secondary,5
558,1,66,Hombre,,beyond secondary,
558,2,57,Mujer,,beyond secondary,5
558,4,34,Mujer,2,beyond secondary,
558,5,10,Hombre,4,beyond secondary,5
558,6,6,Mujer,4,beyond secondary,1
558,7,15,Hombre,4,beyond secondary,8
558,8,44,Hombre,,beyond secondary,
559,1,56,Hombre,,beyond secondary,
559,3,24,Hombre,,beyond secondary,
559,4,21,Hombre,,beyond secondary,13
559,5,17,Hombre,,beyond secondary,9
560,1,38,Hombre,,beyond secondary,
560,2,45,Mujer,,beyond secondary,
560,3,13,Mujer,2,beyond secondary,8
560,4,8,Mujer,2,beyond secondary,2
561,1,59,Hombre,,beyond secondary,
562,1,46,Hombre,6,beyond secondary,
562,2,47,Mujer,,beyond secondary,
562,4,21,Mujer,2,beyond secondary,
562,5,8,Mujer,2,beyond secondary,2
562,6,68,Mujer,,beyond secondary,
563,1,51,Hombre,,beyond secondary,
563,2,46,Mujer,,beyond secondary,
563,3,25,Mujer,2,beyond secondary,
563,4,22,Hombre,2,beyond secondary,
563,5,4,Hombre,,beyond secondary,
563,6,2,Mujer,,beyond secondary,
564,1,29,Hombre,6,beyond secondary,12
565,2,32,Mujer,10,beyond secondary,14
565,3,9,Hombre,2,beyond secondary,4
565,4,6,Mujer,2,beyond secondary,1
564,5,56,Hombre,,beyond secondary,
564,6,52,Mujer,,beyond secondary,
564,7,22,Mujer,6,beyond secondary,14
564,8,1,Hombre,7,beyond secondary,
565,9,52,Hombre,,beyond secondary,
565,10,54,Mujer,,beyond secondary,
566,1,39,Mujer,,beyond secondary,
566,2,20,Mujer,1,beyond secondary,
566,3,15,Mujer,1,beyond secondary,9
566,4,12,Hombre,1,beyond secondary,6
566,5,1,Hombre,2,beyond secondary,
567,1,51,Hombre,,beyond secondary,
567,2,43,Mujer,4,beyond secondary,
567,3,7,Mujer,2,beyond secondary,2
567,4,62,Mujer,,beyond secondary,
567,5,41,Mujer,4,beyond secondary,
567,6,14,Mujer,5,beyond secondary,9
568,1,56,Mujer,,beyond secondary,
568,4,21,Hombre,1,beyond secondary,1
568,5,17,Mujer,1,beyond secondary,11
568,6,13,Mujer,1,beyond secondary,6
568,7,25,Hombre,1,beyond secondary,
568,8,30,Mujer,1,beyond secondary,
568,9,3,Hombre,8,beyond secondary,
568,10,2,Hombre,8,beyond secondary,
568,11,0,Mujer,5,beyond secondary,
569,1,46,Mujer,3,beyond secondary,13
569,2,81,Hombre,,beyond secondary,
569,3,74,Mujer,,beyond secondary,
569,4,34,Mujer,3,beyond secondary,16
569,5,38,Mujer,3,beyond secondary,
570,1,36,Hombre,,beyond secondary,
570,2,33,Mujer,,beyond secondary,5
570,3,5,Mujer,2,beyond secondary,
570,4,17,Mujer,2,beyond secondary,1
571,1,38,Hombre,,beyond secondary,
