hh_id,person_id,age,memsex,relate,livhse
ET040082,2,29,2,1,1
ET040082,3,10,2,9,1
ET040082,4,1,1,9,1
ET040083,0,5,2,0,1
ET040083,1,36,1,1,1
ET040083,2,31,2,1,1
ET040083,3,19,2,20,2
ET040083,15,6,1,7,1
ET040084,0,5,2,0,1
ET040084,1,42,1,1,1
ET040084,2,34,2,1,1
ET040084,3,14,1,7,1
ET040084,4,10,2,7,1
ET040084,5,2,1,7,1
ET040085,0,4,2,0,1
ET040085,1,39,1,1,1
ET040085,2,27,2,1,1
ET040085,3,11,2,7,1
ET040085,15,6,2,7,1
ET040086,0,5,2,0,1
ET040086,1,34,1,1,3
ET040086,2,24,2,1,3
ET040086,3,15,1,13,1
ET040086,4,52,2,6,1
ET040086,5,58,1,6,1
ET040086,6,25,1,13,1
ET040086,7,19,2,13,1
ET040086,8,9,2,13,1
ET040086,9,27,1,13,1
ET040087,0,5,1,0,1
ET040087,1,44,1,1,1
ET040087,2,32,2,1,1
ET040087,3,74,2,5,3
ET040087,4,25,1,13,1
ET040087,5,14,2,7,1
ET040087,6,10,1,7,1
ET040087,7,21,2,13,1
ET040088,0,4,1,0,1
ET040088,1,64,2,5,1
ET040088,2,29,1,13,2
ET040088,3,25,2,1,1
ET040088,15,8,2,9,1
ET040089,0,4,2,0,1
ET040089,1,59,1,1,1
ET040089,2,49,2,1,1
ET040089,3,18,2,7,1
ET040089,4,14,2,7,1
ET040089,5,12,1,7,1
ET040089,6,10,2,7,1
ET040089,15,7,1,7,1
ET040090,0,4,1,0,1
ET040090,1,44,1,1,1
ET040090,2,34,2,1,1
ET040090,3,18,1,7,1
ET040090,4,12,2,7,1
ET040090,5,20,2,7,1
ET040090,6,3,1,13,1
ET040091,0,4,2,0,1
ET040091,1,40,1,1,1
ET040091,2,27,2,1,1
ET040091,15,9,2,7,1
ET040092,0,5,2,0,1
ET040092,1,84,2,5,3
ET040092,2,42,1,1,1
ET040092,3,32,2,1,1
ET040092,4,3,2,7,1
ET040092,5,0,1,7,1
ET040092,6,17,2,13,1
ET040093,0,5,2,0,1
ET040093,1,26,2,1,1
ET040093,2,19,2,22,2
ET040093,3,22,2,13,1
ET040093,4,65,2,5,1
ET040093,5,13,2,14,1
ET040094,0,5,2,0,1
ET040094,1,24,2,1,2
ET040094,2,32,1,1,1
ET040094,3,22,2,2,1
ET040094,4,60,2,6,1
ET040094,5,23,1,19,1
ET040095,0,5,1,0,1
ET040095,1,37,2,5,1
ET040095,2,25,2,1,1
ET040095,3,17,1,13,1
ET040096,0,5,1,0,1
ET040096,1,44,2,5,1
ET040096,2,24,2,1,1
ET040096,3,22,1,13,1
ET040096,4,19,2,13,1
ET040096,5,18,2,22,1
ET040097,0,5,1,0,1
ET040097,1,42,1,1,1
ET040097,2,32,2,1,1
ET040097,3,10,2,7,1
ET040097,15,7,1,7,1
ET040098,0,5,2,0,1
ET040098,1,52,1,1,1
ET040098,2,45,2,1,1
ET040098,3,26,1,8,1
ET040098,4,22,2,22,2
ET040098,5,20,2,8,1
ET040098,6,18,1,9,1
ET040098,7,17,2,8,1
ET040098,8,15,1,8,1
ET040098,9,13,2,8,1
ET040098,10,12,1,8,1
ET040098,11,10,1,8,1
ET040098,12,3,1,15,1
ET040098,13,2,2,15,1
ET040098,14,0,2,15,1
ET040100,0,5,2,0,1
ET040100,1,52,2,22,2
ET040100,2,29,1,22,3
ET040100,3,24,2,1,1
ET040100,4,16,2,22,2
ET050001,0,4,1,0,1
ET050001,1,32,1,1,1
ET050001,2,23,2,1,1
ET050001,3,11,1,7,1
ET050002,0,4,1,0,1
ET050002,1,27,2,1,1
ET050002,2,36,1,1,1
ET050002,3,2,1,7,1
ET050002,4,0,1,7,1
ET050003,0,4,1,0,1
ET050003,1,64,1,5,2
ET050003,2,55,2,5,2
ET050003,3,27,2,1,1
ET050003,4,11,1,9,1
ET050003,5,21,2,13,2
ET050003,15,8,1,14,2
ET050003,16,6,2,14,2
ET050004,0,5,2,0,1
ET050004,1,49,1,1,1
ET050004,2,34,2,1,1
ET050004,3,10,2,7,1
ET050004,4,2,2,7,1
ET050006,0,5,2,0,1
ET050006,1,55,1,1,1
ET050006,2,45,2,1,1
ET050006,3,21,2,7,1
ET050006,4,19,1,7,2
ET050006,5,17,2,7,1
ET050006,6,15,2,7,1
ET050006,7,12,1,7,1
ET050006,15,9,1,7,1
ET050006,16,7,2,7,1
ET050007,0,5,2,0,1
ET050007,1,69,1,1,1
ET050007,2,44,2,1,1
ET050007,3,14,2,7,1
ET050007,4,9,2,7,1
ET050008,0,5,1,0,1
ET050008,1,24,2,1,1
ET050008,2,0,1,7,1
ET050009,0,5,1,0,1
ET050009,1,44,1,1,1
ET050009,2,36,2,1,1
ET050009,3,18,2,7,2
ET050009,4,12,1,7,1
ET050009,5,9,2,7,1
ET050009,6,1,2,7,1
ET050010,0,5,1,0,1
ET050010,1,44,1,1,1
ET050010,2,37,2,1,1
ET050010,3,11,1,7,1
ET050010,15,7,2,7,1
ET050010,16,3,2,7,1
ET050011,0,5,1,0,1
ET050011,1,52,1,1,1
ET050011,2,34,2,1,1
ET050011,3,16,1,7,1
ET050011,4,13,1,7,1
ET050011,5,19,2,13,2
ET050011,15,8,2,7,1
ET050012,0,4,1,0,1
ET050012,1,44,1,1,1
ET050012,2,39,2,1,1
ET050012,3,12,2,7,1
ET050012,15,8,1,7,1
ET050014,0,5,1,0,1
ET050014,1,39,2,1,1
ET050014,2,21,2,7,2
ET050014,3,17,1,9,1
ET050016,0,5,1,0,1
ET050016,1,39,2,1,1
ET050016,2,18,2,7,1
ET050016,3,15,2,9,1
ET050016,4,13,1,9,1
ET050016,5,10,1,9,1
ET050017,0,4,1,0,1
ET050017,1,34,1,1,1
ET050017,2,29,2,1,1
ET050017,3,11,2,9,1
ET050017,15,7,1,7,1
ET050017,16,1,1,7,1
ET050018,0,5,1,0,1
ET050018,1,35,1,1,1
ET050018,2,29,2,1,1
ET050018,3,10,1,7,1
ET050019,0,5,1,0,1
ET050019,1,30,1,1,1
ET050019,2,24,2,1,1
ET050019,15,6,2,7,1
ET050019,16,2,2,7,1
ET050020,0,5,1,0,1
ET050020,1,69,2,6,2
ET050020,2,39,1,1,1
ET050020,3,34,2,1,1
ET050020,4,16,1,7,1
ET050020,5,12,1,7,1
ET050020,15,8,1,7,1
ET050020,16,2,2,7,1
ET050021,0,5,2,0,1
ET050021,1,39,1,1,1
ET050021,2,29,2,1,1
ET050021,3,9,2,7,1
ET050021,4,3,1,7,1
ET050022,0,5,2,0,1
ET050022,1,79,1,5,3
ET050022,2,33,1,1,1
ET050022,3,25,2,1,1
ET050022,15,7,2,7,1
ET050022,16,2,2,7,1
ET050023,0,5,1,0,1
ET050023,1,39,1,1,1
ET050023,2,31,2,1,1
ET050023,3,12,2,7,1
ET050023,4,9,1,7,1
ET050023,5,1,2,7,1
ET050024,0,5,2,0,1
ET050024,1,39,1,1,1
ET050024,2,34,2,1,1
ET050024,3,17,2,7,1
ET050024,4,13,1,7,1
ET050024,5,11,1,7,1
ET050024,6,9,1,7,1
ET050024,7,1,1,7,1
ET050025,0,4,2,0,1
ET050025,1,26,2,1,1
ET050025,2,10,2,9,1
ET050026,0,5,2,0,1
ET050026,1,40,1,1,1
ET050026,2,29,2,1,1
ET050026,3,11,1,7,1
ET050026,15,8,2,7,1
ET050026,16,2,2,7,1
ET050027,0,5,1,0,1
ET050027,1,44,1,1,1
ET050027,2,34,2,1,1
ET050027,3,19,2,9,1
ET050027,4,14,2,7,1
ET050027,5,10,1,7,1
ET050027,6,1,1,7,1
ET050028,0,5,1,0,1
ET050028,1,54,1,1,1
ET050028,2,44,2,1,1
ET050028,3,19,2,7,2
ET050028,4,16,2,7,2
ET050028,5,12,2,7,1
ET050028,6,9,2,7,1
ET050030,0,5,2,0,1
ET050030,1,84,2,18,2
ET050030,2,39,1,1,2
ET050030,3,31,2,1,1
ET050030,4,11,2,7,2
ET050030,15,9,2,7,1
ET050031,0,5,1,0,1
ET050031,1,24,2,1,1
ET050031,2,40,1,1,1
ET050031,3,9,1,8,1
ET050031,4,6,1,8,1
ET050031,5,0,2,7,1
ET050032,0,5,2,0,1
ET050032,1,29,1,1,1
ET050032,2,20,2,1,1
ET050032,3,0,1,7,1
ET050033,0,5,1,0,1
ET050033,1,29,2,1,1
ET050034,0,5,1,0,1
ET050034,1,39,1,1,1
ET050034,2,27,2,1,1
ET050034,3,13,1,8,1
ET050034,4,86,1,6,1
ET050034,15,8,1,7,1
ET050034,16,1,1,7,1
ET050034,17,21,1,14,1
ET050035,0,4,2,0,1
ET050035,1,40,1,1,1
ET050035,2,32,2,1,1
ET050035,3,15,2,7,1
ET050035,4,11,2,7,1
ET050035,15,8,2,7,1
ET050035,16,2,1,7,1
ET050036,0,5,1,0,1
ET050036,1,30,2,1,1
ET050036,2,35,1,1,1
ET050037,0,5,1,0,1
ET050037,1,29,2,1,1
ET050037,2,11,1,7,1
ET050037,3,1,1,9,1
ET050038,0,5,1,0,1
ET050038,1,34,1,2,1
ET050038,2,23,2,1,1
ET050038,3,4,2,9,1
ET050038,4,7,1,19,1
ET050039,0,5,1,0,1
ET050039,1,26,1,2,2
ET050039,2,21,2,1,3
ET050039,3,18,1,13,2
ET050039,15,10,1,9,1
ET050039,16,40,2,5,1
ET050040,0,5,2,0,1
ET050040,1,44,1,1,1
ET050040,2,39,2,1,1
ET050040,3,16,2,7,1
ET050040,4,14,1,7,1
ET050040,5,9,1,7,1
ET050040,6,0,2,7,1
ET050041,0,5,1,0,1
ET050041,1,37,2,1,1
ET050042,0,5,2,0,1
ET050042,1,44,1,1,1
ET050042,2,29,2,1,1
ET050042,3,10,1,7,1
ET050042,4,17,1,14,1
ET050042,5,2,1,7,1
ET050043,0,6,1,0,1
ET050043,1,42,2,1,1
ET050043,2,13,1,7,1
ET050045,0,5,2,0,1
ET050045,1,49,1,1,1
ET050045,2,37,2,1,1
ET050045,3,16,2,7,1
ET050045,4,14,2,7,1
ET050045,5,12,2,8,1
ET050045,6,11,2,7,1
ET050045,7,22,1,20,2
ET050045,8,24,1,20,1
ET050045,9,0,2,15,1
ET050046,0,5,1,0,1
ET050046,1,44,1,1,1
ET050046,2,39,2,1,1
ET050046,3,22,1,7,2
ET050046,4,14,1,7,1
ET050046,15,8,1,7,1
ET050047,0,4,2,0,1
ET050047,1,48,2,1,1
ET050047,2,18,1,9,2
ET050047,3,12,2,9,1
ET050047,15,8,1,9,1
ET050047,16,28,1,9,1
ET050048,0,5,1,0,1
ET050048,1,39,1,1,1
ET050048,2,28,2,1,1
ET050048,3,10,1,7,1
ET050048,4,15,1,7,1
ET050048,5,2,1,7,1
ET050049,0,5,2,0,1
ET050049,1,54,1,1,1
ET050049,2,42,2,1,1
ET050049,3,22,1,7,1
ET050049,4,13,2,7,1
ET050049,5,11,1,7,1
ET050049,15,7,2,7,1
ET050050,0,5,2,0,1
ET050050,1,31,2,1,1
ET050050,2,17,1,9,1
ET050051,0,5,1,0,1
ET050051,1,30,2,1,1
ET050051,2,18,1,9,1
ET050051,3,14,2,9,1
ET050051,4,11,1,9,1
ET050051,5,32,1,1,1
ET050051,6,0,1,7,1
ET050052,0,5,1,0,1
ET050052,1,24,1,1,1
ET050052,2,21,2,1,2
ET050052,3,75,2,6,1
ET050053,0,5,1,0,1
ET050053,1,24,2,1,1
ET050053,15,8,2,7,1
ET050053,16,0,2,7,1
ET050054,0,5,2,0,1
ET050054,1,29,2,1,1
ET050055,0,5,2,0,1
ET050055,1,34,2,1,3
ET050055,2,15,1,7,2
ET050055,3,12,2,9,2
ET050055,4,10,2,7,2
ET050055,5,75,2,5,1
ET050056,0,5,2,0,1
ET050056,1,44,1,1,1
ET050056,2,34,2,1,1
ET050056,3,15,2,9,1
ET050056,15,8,2,7,1
ET050056,16,10,1,9,1
ET050056,17,2,1,7,1
ET050057,0,5,2,0,1
ET050057,1,74,2,17,1
ET050057,2,32,2,1,1
ET050057,3,18,2,13,2
ET050057,4,16,2,13,1
ET050057,5,10,2,9,1
ET050057,6,1,1,7,1
ET050058,0,5,2,0,1
ET050058,1,37,1,1,2
ET050058,2,26,2,1,1
ET050058,3,10,2,7,1
ET050059,0,5,1,0,1
ET050059,1,58,1,1,1
ET050059,2,44,2,1,1
ET050059,3,13,1,7,1
ET050059,4,11,1,7,1
ET050059,5,15,1,7,1
ET050060,0,5,1,0,1
ET050060,1,44,1,22,2
ET050060,2,25,2,1,1
ET050060,3,64,2,6,2
ET050060,4,23,1,8,2
ET050061,0,5,1,0,1
ET050061,1,54,1,1,1
ET050061,2,68,2,5,1
ET050061,3,30,2,1,1
ET050061,4,14,2,7,1
ET050061,5,12,2,7,1
ET050062,0,5,1,0,1
ET050062,1,41,1,1,1
ET050062,2,29,2,1,1
ET050062,3,12,2,7,1
ET050062,15,7,2,7,1
ET050062,16,0,1,7,1
ET050063,0,4,1,0,1
ET050063,1,22,2,1,1
ET050063,2,1,1,9,1
ET050064,0,5,1,0,1
ET050064,1,44,1,1,2
ET050064,2,42,2,1,1
ET050064,3,12,2,7,1
ET050064,4,59,2,5,1
ET050064,5,9,1,7,1
ET050064,6,2,2,7,1
ET050065,0,5,2,0,1
ET050065,1,42,2,1,1
ET050065,2,21,2,9,2
ET050065,3,18,1,9,1
ET050065,4,16,2,9,1
ET050066,0,5,1,0,1
ET050066,1,31,1,1,1
ET050066,2,27,2,1,1
ET050067,0,5,1,0,1
ET050067,1,44,1,1,2
ET050067,2,42,2,1,1
ET050067,3,14,1,7,2
ET050067,4,14,2,8,2
ET050067,5,24,1,20,2
ET050067,6,19,1,20,2
ET050067,15,7,1,7,1
ET050067,16,3,2,7,1
ET050068,0,5,1,0,1
ET050068,1,40,1,1,1
ET050068,2,32,2,1,1
ET050068,3,34,1,13,2
ET050068,4,12,1,7,2
ET050068,15,8,1,7,1
ET050068,16,2,2,7,1
ET050070,0,5,1,0,1
ET050070,1,44,2,1,1
ET050070,2,22,1,9,2
ET050070,3,15,2,9,2
ET050070,4,13,1,7,1
ET050071,0,5,1,0,1
ET050071,1,34,2,1,1
ET050071,2,0,2,7,1
ET050072,0,4,2,0,1
ET050072,1,31,2,1,1
ET050072,2,12,2,9,1
ET050072,3,17,1,9,1
ET050072,4,1,2,9,1
ET050073,0,5,1,0,1
ET050073,1,47,1,1,1
ET050073,2,42,2,1,1
ET050073,3,18,1,7,1
ET050073,4,15,1,7,1
ET050073,5,11,1,7,1
ET050073,6,9,2,7,1
ET050074,0,5,1,0,1
ET050074,1,48,1,1,1
ET050074,2,37,2,1,1
ET050074,3,18,2,7,1
ET050074,4,12,1,7,1
ET050074,5,3,2,7,1
ET050075,0,5,1,0,1
ET050075,1,25,2,1,1
ET050075,2,1,2,7,1
ET050076,0,5,1,0,1
ET050076,1,44,1,1,2
ET050076,2,31,2,1,1
ET050076,3,13,2,7,1
ET050076,4,1,1,7,1
ET050077,0,5,2,0,1
ET050077,1,31,1,1,1
ET050077,2,27,2,1,1
ET050077,15,4,2,7,1
ET050077,16,0,2,7,1
ET050078,0,4,2,0,1
ET050078,1,44,1,1,1
ET050078,2,39,2,1,1
ET050078,3,19,2,7,2
ET050078,4,14,2,7,1
ET050078,5,12,1,7,1
ET050078,15,8,1,7,1
ET050079,0,4,2,0,1
ET050079,1,41,1,1,1
ET050079,2,37,2,1,1
ET050079,3,18,2,7,2
ET050079,4,17,1,7,2
ET050079,5,12,2,7,1
ET050079,6,10,1,7,1
ET050081,0,5,1,0,1
ET050081,1,29,2,1,1
ET050081,2,10,1,9,1
ET050081,3,31,1,1,1
ET050081,4,1,2,7,1
ET050082,0,5,1,0,1
ET050082,1,39,1,1,1
ET050082,2,24,2,1,1
ET050082,3,13,2,7,1
ET050082,4,10,1,7,1
ET050082,5,2,2,7,1
ET050083,0,5,2,0,1
ET050083,1,23,2,1,2
ET050083,2,50,2,5,1
ET050083,3,56,1,5,1
ET050083,4,18,2,13,1
ET050083,5,16,2,13,1
ET050083,6,13,1,13,1
ET050083,7,10,2,13,1
ET050084,0,5,1,0,1
ET050084,1,34,1,1,1
ET050084,2,24,2,1,1
ET050084,3,19,1,20,2
ET050084,4,2,2,7,1
ET050084,5,0,1,7,1
ET050085,0,5,2,0,1
ET050085,1,46,1,1,1
ET050085,2,42,1,20,1
ET050085,3,34,2,1,1
ET050085,4,16,1,7,2
ET050085,5,12,1,7,1
ET050085,6,10,1,7,1
ET050086,0,5,2,0,1
ET050086,1,24,1,1,1
ET050086,2,22,2,1,3
ET050086,3,22,2,2,1
ET050086,4,1,2,8,1
ET050087,0,5,1,0,1
ET050087,1,55,1,1,1
ET050087,2,32,2,1,1
ET050087,3,10,2,7,1
ET050087,4,3,2,7,1
ET050088,0,5,1,0,1
ET050088,1,34,2,1,1
ET050088,2,9,2,7,1
ET050089,0,5,2,0,1
ET050089,1,36,1,1,1
ET050089,2,24,2,1,1
ET050090,0,5,1,0,1
ET050090,1,39,1,1,1
ET050090,2,29,2,1,1
ET050090,3,12,2,7,2
ET050090,15,7,1,7,1
ET050090,16,0,1,7,1
ET050091,0,5,1,0,1
ET050091,1,46,1,1,1
ET050091,2,33,2,1,1
ET050091,3,16,2,7,1
ET050091,4,11,1,7,1
ET050091,5,9,1,7,1
ET050091,6,19,2,22,2
ET050091,7,2,2,7,1
ET050092,0,5,1,0,1
ET050092,1,39,1,1,1
ET050092,2,24,2,1,1
ET050092,3,14,2,7,1
ET050092,15,7,2,7,1
ET050092,16,2,1,7,1
ET050093,0,5,2,0,1
ET050093,1,49,1,1,1
ET050093,2,40,2,1,1
ET050093,3,23,1,7,1
ET050093,4,18,2,7,2
ET050093,5,14,2,7,2
ET050093,6,13,1,7,1
ET050093,7,11,2,7,1
ET050093,15,7,1,7,1
ET050094,0,5,2,0,1
ET050094,1,49,1,1,1
ET050094,2,39,2,1,1
ET050094,3,11,2,7,1
ET050094,4,9,1,7,1
ET050094,5,18,1,7,1
ET050094,6,16,2,7,1
ET050095,0,5,1,0,1
ET050095,1,34,1,1,3
ET050095,2,29,2,1,1
ET050095,3,14,2,7,2
ET050095,4,11,1,7,1
ET050095,5,33,1,2,1
ET050095,6,1,2,9,1
ET050096,0,5,2,0,1
ET050096,1,27,1,1,1
ET050096,2,24,2,1,1
ET050096,3,2,2,7,1
ET050097,0,4,1,0,1
ET050097,1,46,1,1,1
ET050097,2,39,2,1,1
ET050097,3,17,1,7,1
ET050097,4,14,1,7,1
ET050097,5,12,1,7,1
ET050098,0,5,1,0,1
ET050098,1,29,1,1,1
ET050098,2,24,2,1,1
ET050098,3,17,1,20,2
ET050098,15,7,2,7,1
ET050098,16,3,1,7,1
ET050099,0,5,2,0,1
ET050099,1,34,1,1,2
ET050099,2,24,2,1,1
ET050099,3,11,2,13,1
ET050099,4,60,1,17,1
ET050099,5,45,2,17,1
ET050100,0,4,2,0,1
ET050100,1,46,1,1,1
ET050100,2,34,2,1,1
ET050100,3,15,2,7,2
ET050100,4,12,2,7,1
ET050100,5,10,2,7,1
ET050100,15,6,2,7,1
ET050100,16,2,2,7,1
ET060002,0,6,1,0,1
ET060002,1,43,1,1,1
ET060002,2,40,2,1,1
ET060002,3,20,2,7,2
ET060002,4,17,1,7,2
ET060002,5,14,1,7,1
ET060002,6,12,1,7,1
ET060002,15,8,2,7,1
ET060002,16,2,2,7,1
ET060003,0,5,2,0,1
ET060003,1,30,2,1,1
ET060003,2,14,1,7,1
ET060003,3,11,2,7,1
ET060003,15,7,1,7,1
ET060003,16,40,1,1,1
ET060003,17,3,1,7,1
ET060004,0,5,2,0,1
ET060004,1,55,1,1,1
ET060004,2,42,2,1,1
ET060004,3,17,2,7,1
ET060004,4,14,2,7,1
ET060004,5,12,2,7,1
ET060004,15,8,1,7,1
ET060004,16,16,2,7,1
ET060005,0,4,1,0,1
ET060005,1,26,1,1,1
ET060005,2,21,2,1,1
ET060005,3,0,1,7,1
ET060006,0,5,2,0,1
ET060006,1,33,1,1,1
ET060006,2,24,2,1,1
ET060006,15,7,1,7,1
ET060006,16,1,1,7,1
ET060007,0,5,1,0,1
ET060007,1,48,1,1,1
ET060007,2,42,2,1,1
ET060007,3,19,1,7,1
ET060007,4,17,2,7,1
ET060007,5,14,1,7,1
ET060007,6,12,2,7,1
ET060007,15,8,2,7,1
ET060007,16,3,2,7,1
ET060007,17,0,2,7,1
ET060008,0,4,2,0,1
ET060008,1,28,1,1,1
ET060008,2,19,2,1,1
ET060008,3,14,1,20,1
ET060008,4,2,1,7,1
ET060009,0,5,1,0,1
ET060009,1,44,1,1,1
ET060009,2,34,2,1,1
ET060009,3,15,1,7,1
ET060009,4,12,2,7,1
ET060009,5,9,1,7,1
ET060010,0,5,2,0,1
ET060010,1,32,2,1,1
ET060010,2,14,2,7,1
ET060010,15,7,1,7,1
ET060010,16,42,1,22,1
ET060010,17,2,1,7,1
ET060011,0,4,2,0,1
ET060011,1,42,1,1,1
ET060011,2,32,2,1,1
ET060011,3,18,2,7,2
ET060011,4,13,1,7,1
ET060011,5,10,2,7,1
ET060011,15,7,1,7,1
ET060011,16,0,2,7,1
ET060012,0,5,1,0,1
ET060012,1,40,1,1,1
ET060012,2,34,2,1,1
ET060012,3,19,1,7,1
ET060012,4,16,1,7,1
ET060012,5,12,2,7,1
ET060012,6,10,2,7,1
ET060012,15,8,1,7,1
ET060013,0,5,1,0,1
ET060013,1,33,1,1,1
ET060013,2,22,2,1,2
ET060013,3,25,2,2,1
ET060013,4,1,1,7,1
ET060014,0,5,1,0,1
ET060014,1,27,1,1,1
ET060014,2,24,2,1,1
ET060014,3,2,2,7,1
ET060015,0,5,2,0,1
ET060015,1,48,1,1,1
ET060015,2,29,2,1,1
ET060015,3,19,1,8,2
ET060015,4,15,1,8,2
ET060015,5,1,1,7,1
ET060015,6,16,1,19,1
ET060016,0,4,2,0,1
ET060016,1,43,1,1,1
ET060016,2,35,2,1,1
ET060016,3,19,1,7,1
ET060016,4,17,1,7,1
ET060016,5,15,1,7,1
ET060016,6,12,2,7,1
ET060016,7,10,1,7,1
ET060016,15,8,2,7,1
ET060016,16,1,2,7,1
ET060017,0,4,2,0,1
ET060017,1,29,1,1,2
ET060017,2,24,2,1,1
ET060018,0,4,1,0,1
ET060018,1,44,1,1,1
ET060018,2,37,2,1,1
ET060018,3,19,2,7,1
ET060018,4,16,1,7,1
ET060018,5,13,1,7,1
ET060018,6,10,1,7,1
ET060018,15,7,2,7,1
ET060019,0,4,2,0,1
ET060019,1,34,1,1,1
ET060019,2,21,2,1,1
ET060019,3,1,2,7,1
ET060020,0,5,1,0,1
ET060020,1,39,1,1,1
ET060020,2,28,2,1,1
ET060020,3,22,1,13,2
ET060020,15,7,1,7,1
ET060020,16,6,2,7,1
ET060020,17,1,2,7,1
ET060021,0,5,1,0,1
ET060021,1,29,1,1,1
ET060021,2,22,2,1,1
ET060021,3,1,1,7,1
ET060022,0,5,2,0,1
ET060022,1,32,1,1,1
ET060022,2,24,2,1,1
ET060022,3,12,1,7,1
ET060022,4,9,2,7,1
ET060022,5,0,2,7,1
ET060023,0,4,2,0,1
ET060023,1,29,1,1,1
ET060023,2,22,2,1,2
ET060023,3,25,2,2,1
ET060024,0,5,1,0,1
ET060024,1,32,1,1,1
ET060024,2,29,2,1,1
ET060024,3,11,1,7,1
ET060024,4,9,2,7,1
ET060024,5,2,2,7,1
ET060025,0,5,1,0,1
ET060025,1,47,1,1,1
ET060025,2,38,2,1,1
ET060025,3,19,1,7,1
ET060025,4,18,2,7,1
ET060025,5,15,1,7,1
ET060025,15,3,1,7,1
ET060026,0,5,1,0,1
ET060026,1,44,1,1,1
ET060026,2,32,2,1,1
ET060026,3,19,1,7,1
ET060026,4,17,1,7,1
ET060026,5,13,1,7,1
ET060026,15,7,1,7,1
ET060026,16,2,1,7,1
ET060027,0,5,2,0,1
ET060027,1,40,1,1,1
ET060027,2,34,2,1,1
ET060027,3,12,1,7,1
ET060027,4,10,2,7,1
ET060027,5,16,2,7,1
ET060027,15,8,1,7,1
ET060027,16,7,1,7,1
ET060027,17,3,2,7,1
ET060027,18,1,2,7,1
ET060028,0,5,1,0,1
ET060028,1,77,1,1,1
ET060028,2,54,2,1,3
ET060028,3,15,1,7,1
ET060028,4,12,1,7,1
ET060028,5,9,1,7,1
ET060028,6,24,2,7,2
ET060029,0,5,1,0,1
ET060029,1,39,1,1,2
ET060029,2,27,2,1,1
ET060029,3,9,2,7,1
ET060029,4,1,2,7,1
ET060030,0,4,1,0,1
ET060030,1,41,1,1,1
ET060030,2,35,2,1,1
ET060030,3,16,1,7,1
ET060030,4,14,2,7,1
ET060030,5,12,2,7,1
ET060030,6,9,1,7,1
ET060030,15,6,1,7,1
ET060030,16,2,2,7,1
ET060030,17,0,1,7,1
ET060031,0,5,1,0,1
ET060031,1,44,1,1,1
ET060031,2,39,2,1,1
ET060031,3,24,2,7,2
ET060031,4,19,1,7,1
ET060031,5,17,2,7,2
ET060031,6,12,2,7,1
ET060031,7,10,2,7,1
ET060031,15,7,1,7,1
ET060031,16,6,2,14,1
ET060031,17,8,1,7,1
ET060031,18,1,2,7,1
ET060032,0,5,1,0,1
ET060032,1,32,1,1,1
ET060032,2,28,2,1,1
ET060032,3,19,1,21,2
ET060032,4,9,1,7,1
ET060032,5,3,2,7,1
ET060032,6,0,1,7,1
ET060033,0,4,1,0,1
ET060033,1,46,1,1,1
ET060033,2,32,2,1,1
ET060033,3,13,2,7,1
ET060033,4,11,2,7,1
ET060033,15,8,1,7,1
ET060033,16,1,2,7,1
ET060034,0,4,1,0,1
ET060034,1,54,1,1,1
ET060034,2,42,2,1,1
ET060034,3,24,2,7,1
ET060034,4,22,1,7,1
ET060034,5,20,1,7,1
ET060034,6,16,2,7,1
ET060034,7,14,1,7,1
ET060034,8,11,2,7,1
ET060034,15,7,2,7,1
ET060035,0,4,1,0,1
ET060035,1,52,1,1,2
ET060035,2,31,2,1,1
ET060035,3,20,1,7,1
ET060035,4,16,1,7,1
ET060035,5,12,1,7,1
ET060035,6,2,2,7,1
ET060036,0,5,1,0,1
ET060036,1,29,1,1,2
ET060036,2,28,2,1,1
ET060036,3,15,1,14,2
ET060036,15,8,2,7,2
ET060036,16,31,1,22,1
ET060036,17,4,2,22,1
ET060037,0,5,2,0,1
ET060037,1,59,1,1,1
ET060037,2,42,2,1,1
ET060037,3,26,2,7,2
ET060037,4,23,2,7,2
ET060037,5,20,1,7,1
ET060037,6,17,2,7,1
ET060037,7,14,2,7,1
ET060037,8,13,1,7,1
ET060037,15,8,1,7,1
ET060038,0,5,2,0,1
ET060038,1,44,1,1,1
ET060038,2,37,2,1,3
ET060038,3,24,1,7,1
ET060038,4,21,1,7,1
ET060038,5,19,1,7,1
ET060038,6,11,1,7,3
ET060038,15,8,1,7,1
ET060038,16,28,2,2,1
ET060039,0,5,2,0,1
ET060039,1,41,1,1,1
ET060039,2,27,2,1,1
ET060039,3,12,1,7,1
ET060039,4,15,2,14,2
ET060039,15,7,2,7,1
ET060039,16,1,1,7,1
ET060040,0,5,1,0,1
ET060040,1,54,1,1,1
ET060040,2,42,2,1,1
ET060040,15,1,1,7,1
ET060041,0,5,2,0,1
ET060041,1,54,1,1,1
ET060041,2,41,2,1,1
ET060041,3,23,1,7,1
ET060041,4,20,2,7,1
ET060041,5,16,2,7,1
ET060041,6,13,1,7,1
ET060041,7,11,1,7,1
ET060041,8,10,2,7,1
ET060041,15,8,2,7,1
ET060041,16,3,1,7,1
ET060042,0,5,1,0,1
ET060042,1,36,1,1,3
ET060042,2,24,2,1,1
ET060042,15,8,1,7,1
ET060042,16,40,1,2,1
ET060042,17,20,1,10,1
ET060042,18,18,1,10,1
ET060042,19,15,2,10,1
ET060042,20,17,1,10,1
